Speed,Yaw,RPM,Gear,Fuel
0.07,6.28,104.72,0,10.05
0.07,6.28,117.92,0,10.05
0.07,6.28,131.12,0,10.05
0.07,6.28,144.32,0,10.05
0.07,6.28,157.52,0,10.05
0.07,6.28,171.20,0,10.05
0.07,6.28,185.85,0,10.05
0.07,6.28,201.55,0,10.05
0.07,6.28,218.34,0,10.05
0.07,6.28,236.22,0,10.05
0.07,6.28,255.24,0,10.05
0.07,6.28,275.48,0,10.05
0.07,6.28,297.06,0,10.05
0.07,6.28,320.07,0,10.05
0.07,6.28,344.47,0,10.05
0.07,6.28,370.32,0,10.05
0.07,6.28,397.49,0,10.05
0.04,6.28,435.54,1,10.05
0.60,6.28,464.49,1,10.05
1.05,6.28,491.88,1,10.05
1.81,6.28,514.09,1,10.05
2.60,6.28,528.82,1,10.04
3.53,6.28,534.68,1,10.04
4.47,6.28,534.10,1,10.04
5.47,6.28,530.13,1,10.04
6.56,6.28,521.87,1,10.04
7.63,6.28,495.74,1,10.04
9.02,6.28,449.47,1,10.04
10.26,6.28,387.12,1,10.04
11.53,6.29,318.77,1,10.04
12.62,6.29,257.61,1,10.04
13.42,6.29,215.81,1,10.04
14.27,6.29,198.11,1,10.04
15.00,6.29,197.37,1,10.04
15.81,6.29,203.15,1,10.04
16.64,6.29,211.26,1,10.04
17.41,6.29,220.44,1,10.04
18.27,6.29,230.65,1,10.04
19.19,6.29,241.95,1,10.04
20.08,6.29,254.16,1,10.04
21.02,6.29,267.12,1,10.04
22.02,6.29,280.82,1,10.04
23.06,6.29,295.44,1,10.03
24.14,6.29,311.11,1,10.03
25.27,6.29,327.78,1,10.03
26.44,6.29,345.63,1,10.03
27.66,6.29,365.04,1,10.03
28.93,6.29,385.69,1,10.03
30.24,6.29,408.06,1,10.03
31.61,6.29,433.14,1,10.03
33.16,6.29,465.88,1,10.03
34.77,6.30,496.33,1,10.03
36.38,6.30,516.65,1,10.03
37.98,6.30,535.57,1,10.03
39.56,6.30,554.32,1,10.03
