Frame,Happy,Engaged,Glasses,Left Eye,Right Eye,Looking Away,Mouth Move,Mouth Open,Yaw,Pitch,Roll
0,0,1,0,0,0,0,0,0,-10,5,0
1,0,1,0,0,0,0,0,0,-10,5,-5
2,0,1,0,0,0,0,0,0,-15,5,-5
3,0,1,0,0,0,0,0,0,-15,10,0
4,0,1,0,0,0,0,0,0,-10,5,-5
5,0,1,0,0,0,0,0,0,-15,5,-5
6,0,1,0,0,0,0,0,0,-10,5,-5
7,0,1,0,0,0,0,0,0,-15,5,0
8,0,1,0,0,0,0,0,0,-15,5,-5
9,0,1,0,0,0,0,0,0,-15,5,0
10,0,1,0,0,0,0,0,0,-15,5,-5
11,0,1,0,0,0,0,0,0,-15,10,0
12,0,1,0,0,0,0,0,0,-15,10,0
13,0,1,0,0,0,0,0,0,-15,10,0
14,0,1,0,0,0,0,0,0,-15,10,0
15,0,1,0,0,0,1,0,0,-15,10,0
16,0,1,0,0,0,0,1,0,-15,10,0
17,0,1,0,0,0,1,0,0,-15,10,5
18,0,1,0,0,0,1,0,0,-15,10,5
19,0,1,0,0,0,0,0,0,-15,10,5
20,0,1,0,0,0,1,0,0,-10,10,5
21,0,1,0,0,0,0,0,0,-10,10,5
22,0,1,0,0,0,1,0,0,-10,10,5
23,0,1,0,0,0,0,1,0,-10,10,5
24,0,1,0,0,0,0,0,0,-10,10,5
25,0,1,0,0,0,0,0,0,-5,10,5
26,0,1,0,0,0,0,0,0,-5,10,5
27,0,1,0,0,0,1,0,0,-5,10,5
28,0,1,0,0,0,1,0,0,-10,10,5
29,0,1,0,0,0,0,0,0,-10,10,5
30,0,1,0,0,0,0,0,0,-10,10,5
31,0,1,0,0,0,0,0,0,-5,10,5
32,0,1,0,0,0,1,0,0,-10,10,5
33,0,1,0,0,0,0,0,0,-10,10,5
34,0,1,0,0,0,1,0,0,-10,10,5
35,0,1,0,0,0,1,0,0,-5,5,5
36,0,1,0,0,0,1,0,0,-5,5,5
37,0,1,0,0,0,0,0,0,-10,5,5
38,0,1,0,0,0,0,0,0,-10,5,5
39,0,1,0,0,0,1,0,0,-10,5,5
40,0,1,0,0,0,1,1,0,-10,5,5
41,0,1,0,0,0,0,1,0,-10,5,5
42,0,1,0,0,0,1,1,0,-15,5,5
43,0,1,0,0,0,1,0,0,-15,5,5
