Speed,Yaw,RPM,Gear,Fuel
-0.01,-6.28,209.44,0,9.25
-0.01,-6.28,335.50,0,9.25
-0.01,-6.28,481.39,0,9.25
-0.01,-6.28,636.71,0,9.25
-0.01,-6.28,788.42,0,9.25
-0.01,-6.28,890.12,0,9.25
-0.01,-6.28,890.12,0,9.24
-0.01,-6.28,890.12,0,9.24
-0.01,-6.28,890.12,0,9.24
-0.01,-6.28,890.12,0,9.24
-0.01,-6.28,890.12,0,9.24
-0.01,-6.28,890.12,0,9.24
-0.01,-6.28,890.12,0,9.24
-0.01,-6.28,890.12,0,9.23
-0.01,-6.28,890.12,0,9.23
-0.01,-6.28,890.12,0,9.23
-0.01,-6.28,890.12,0,9.23
0.26,-6.28,888.82,1,9.23
0.96,-6.28,888.70,1,9.23
1.74,-6.28,888.44,1,9.23
2.54,-6.28,888.17,1,9.23
3.60,-6.28,889.66,1,9.22
4.81,-6.28,891.49,1,9.22
6.37,-6.28,889.16,1,9.22
8.28,-6.28,882.76,1,9.22
10.64,-6.29,861.48,1,9.21
13.04,-6.29,838.87,1,9.21
15.61,-6.29,817.33,1,9.21
18.29,-6.29,774.43,1,9.21
21.06,-6.29,702.59,1,9.20
23.85,-6.29,614.90,1,9.20
26.63,-6.30,543.01,1,9.20
29.38,-6.30,495.72,1,9.20
32.22,-6.30,478.97,1,9.20
34.95,-6.30,480.39,1,9.19
37.68,-6.31,493.31,1,9.19
40.41,-6.31,510.37,1,9.19
43.13,-6.31,530.94,1,9.19
45.85,-6.31,551.83,1,9.19
48.56,-6.31,574.54,1,9.19
51.27,-6.31,597.34,1,9.18
53.98,-6.31,621.60,1,9.18
56.68,-6.31,644.45,1,9.18
59.37,-6.31,668.35,1,9.18
62.06,-6.31,691.02,1,9.18
64.73,-6.30,715.60,1,9.17
67.39,-6.30,738.19,1,9.17
70.04,-6.29,763.30,1,9.17
72.68,-6.29,783.95,1,9.17
75.31,-6.29,811.59,1,9.16
78.20,-6.29,829.86,1,9.16
81.06,-6.29,861.76,1,9.16
83.87,-6.29,875.56,1,9.16
84.08,-6.29,635.39,2,9.16
84.02,-0.01,626.85,2,9.16
85.44,-0.01,663.86,2,9.15
88.01,-0.01,665.29,2,9.15
90.50,-0.01,682.80,2,9.15
92.94,-0.01,703.22,2,9.15
95.38,-0.01,721.30,2,9.14
97.79,-0.01,738.42,2,9.14
100.19,-0.01,754.70,2,9.14
102.55,-0.01,771.39,2,9.13
104.89,-0.01,787.69,2,9.13
107.20,-0.01,804.12,2,9.13
109.48,-0.01,820.05,2,9.12
111.74,-0.01,836.03,2,9.12
112.61,-0.01,605.58,3,9.12
112.50,-0.01,598.83,3,9.12
112.89,-0.01,612.45,3,9.12
114.69,-0.01,618.84,3,9.12
116.47,-0.01,627.90,3,9.11
118.25,-0.01,637.77,3,9.11
120.01,-0.01,647.39,3,9.11
121.76,-0.01,656.60,3,9.11
123.51,-0.01,665.70,3,9.10
125.24,-0.01,674.77,3,9.10
126.96,-0.01,683.82,3,9.10
128.67,-0.01,692.81,3,9.10
130.37,-0.01,701.77,3,9.09
132.07,-0.01,710.62,3,9.09
133.75,-0.01,719.46,3,9.09
135.42,-0.01,728.20,3,9.08
137.08,-0.01,736.85,3,9.08
138.72,-0.01,745.51,3,9.08
140.36,-0.01,754.01,3,9.08
141.98,-0.01,762.42,3,9.07
143.58,-0.01,770.89,3,9.07
145.18,-0.01,779.17,3,9.07
146.76,-0.01,787.37,3,9.06
148.33,-0.01,795.66,3,9.06
149.89,-0.01,803.73,3,9.06
151.44,-0.01,811.72,3,9.05
152.97,-0.01,819.66,3,9.05
153.48,-0.00,658.09,4,9.05
153.26,-0.00,648.28,4,9.05
153.46,-0.00,665.19,4,9.05
154.77,-0.00,669.79,4,9.05
156.06,-0.00,675.10,4,9.04
157.35,-0.00,680.72,4,9.04
158.63,-0.00,686.22,4,9.04
159.90,-0.00,691.77,4,9.04
161.17,-0.00,697.07,4,9.03
162.43,-0.00,702.34,4,9.03
163.68,-0.00,707.60,4,9.03
164.92,-0.00,712.88,4,9.02
166.16,-0.00,718.23,4,9.02
167.39,-0.00,723.38,4,9.02
168.61,-0.00,728.51,4,9.02
169.82,-0.00,733.61,4,9.01
171.03,-0.00,738.91,4,9.01
172.22,-0.00,743.92,4,9.01
173.41,0.00,748.91,4,9.00
174.59,0.00,753.85,4,9.00
175.77,0.00,758.77,4,9.00
176.93,0.00,763.84,4,9.00
178.08,0.00,768.72,4,8.99
179.23,0.00,773.53,4,8.99
180.37,0.00,778.31,4,8.99
181.50,0.00,783.06,4,8.98
182.62,0.00,787.78,4,8.98
183.73,0.00,792.51,4,8.98
184.84,0.00,797.29,4,8.97
185.94,0.00,801.90,4,8.97
187.03,0.00,806.49,4,8.97
188.11,0.00,811.04,4,8.97
188.83,0.00,656.44,5,8.96
188.49,0.00,646.73,5,8.96
188.15,0.00,647.84,5,8.96
188.96,0.01,659.94,5,8.96
189.85,0.01,662.83,5,8.96
190.73,0.01,665.93,5,8.95
191.61,0.01,669.03,5,8.95
192.48,0.01,672.04,5,8.95
193.35,0.01,675.02,5,8.95
194.22,0.01,677.98,5,8.94
195.08,0.01,680.93,5,8.94
195.93,0.01,683.88,5,8.94
196.78,0.01,686.80,5,8.94
197.63,0.01,689.74,5,8.93
198.47,0.01,692.65,5,8.93
199.23,0.01,695.26,5,8.93
199.99,0.01,697.86,5,8.92
200.74,0.01,700.45,5,8.92
201.49,0.01,703.02,5,8.92
202.24,0.01,705.58,5,8.92
202.98,0.01,708.14,5,8.91
203.72,0.01,710.70,5,8.91
204.45,0.01,713.22,5,8.91
205.18,0.01,715.73,5,8.91
205.91,0.01,718.24,5,8.90
206.63,0.01,720.73,5,8.90
207.35,0.01,723.21,5,8.90
208.07,0.01,725.67,5,8.90
208.78,0.01,728.13,5,8.89
209.49,0.01,730.57,5,8.89
210.20,0.01,733.00,5,8.89
210.90,0.01,735.41,5,8.89
211.60,0.01,737.82,5,8.88
212.30,0.01,740.21,5,8.88
212.99,0.01,742.59,5,8.88
213.68,0.01,744.96,5,8.88
214.36,0.01,747.31,5,8.87
215.04,0.01,749.66,5,8.87
215.72,0.01,751.96,5,8.87
216.39,0.01,754.26,5,8.86
217.06,0.01,756.56,5,8.86
217.73,0.01,758.86,5,8.86
218.39,0.01,761.14,5,8.86
219.05,0.01,763.41,5,8.85
219.71,0.01,765.67,5,8.85
220.36,0.01,767.92,5,8.85
221.01,0.01,770.15,5,8.85
221.65,0.01,772.38,5,8.84
222.30,0.01,774.59,5,8.84
222.94,0.01,777.09,5,8.84
223.57,0.01,779.75,5,8.84
224.21,0.01,782.02,5,8.83
224.85,0.01,784.07,5,8.83
225.48,0.00,786.04,5,8.83
226.12,0.00,787.95,5,8.82
226.76,-0.00,789.96,5,8.82
227.39,-0.00,792.13,5,8.82
228.02,-0.01,794.28,5,8.82
228.64,-0.01,796.42,5,8.81
229.27,-0.01,798.55,5,8.81
229.89,-0.01,800.67,5,8.81
230.51,-0.01,802.78,5,8.81
231.13,-0.02,804.88,5,8.80
231.74,-0.02,806.97,5,8.80
232.35,-0.02,809.04,5,8.80
232.72,-0.02,664.16,6,8.79
232.28,-0.02,654.92,6,8.79
231.84,-0.03,646.14,6,8.79
231.95,-0.03,664.69,6,8.79
232.44,-0.03,665.91,6,8.79
232.92,-0.03,667.25,6,8.79
233.40,-0.04,668.64,6,8.79
233.88,-0.04,670.00,6,8.78
234.36,-0.04,671.32,6,8.78
234.83,-0.04,672.64,6,8.78
235.30,-0.05,673.94,6,8.78
235.76,-0.04,675.34,6,8.77
236.22,-0.04,676.75,6,8.77
236.68,-0.04,678.06,6,8.77
237.14,-0.04,679.34,6,8.77
237.60,-0.04,680.62,6,8.76
238.05,-0.04,681.90,6,8.76
238.51,-0.04,683.18,6,8.76
238.96,-0.04,684.45,6,8.76
239.40,-0.04,685.72,6,8.75
239.85,-0.04,686.98,6,8.75
240.29,-0.03,688.23,6,8.75
240.73,-0.03,689.48,6,8.75
241.17,-0.03,690.72,6,8.74
241.61,-0.03,691.96,6,8.74
242.04,-0.03,693.19,6,8.74
242.47,-0.03,694.41,6,8.74
242.90,-0.03,695.63,6,8.73
243.33,-0.03,696.84,6,8.73
243.76,-0.03,698.04,6,8.73
244.18,-0.03,699.24,6,8.73
244.60,-0.03,700.43,6,8.72
245.02,-0.03,701.62,6,8.72
245.44,-0.03,702.80,6,8.72
245.85,-0.03,703.98,6,8.72
246.27,-0.03,705.15,6,8.71
246.68,-0.03,706.31,6,8.71
247.09,-0.03,707.47,6,8.71
247.49,-0.03,708.62,6,8.71
247.90,-0.03,709.76,6,8.70
248.30,-0.03,710.90,6,8.70
248.70,-0.02,712.04,6,8.70
249.10,-0.01,713.17,6,8.69
249.50,-0.00,714.29,6,8.69
249.89,0.00,715.40,6,8.69
250.28,0.01,716.52,6,8.69
250.67,0.02,717.62,6,8.68
251.06,0.02,718.72,6,8.68
251.45,0.03,719.97,6,8.68
251.83,0.03,721.24,6,8.68
252.22,0.02,722.32,6,8.67
252.61,0.02,723.34,6,8.67
253.00,0.02,724.37,6,8.67
253.38,0.02,725.42,6,8.67
253.77,0.02,726.48,6,8.66
254.15,0.02,727.54,6,8.66
254.54,0.02,728.61,6,8.66
254.92,0.02,729.67,6,8.66
255.30,0.02,730.75,6,8.65
255.68,0.02,731.80,6,8.65
256.05,0.02,732.83,6,8.65
256.43,0.02,733.86,6,8.65
256.80,0.02,734.89,6,8.64
257.17,0.02,735.91,6,8.64
257.54,0.02,736.93,6,8.64
257.90,0.02,737.95,6,8.63
258.26,0.01,739.08,6,8.63
258.62,0.01,740.21,6,8.63
258.98,0.01,741.21,6,8.63
259.34,0.01,742.19,6,8.62
259.69,0.01,743.17,6,8.62
260.05,0.01,744.13,6,8.62
260.40,0.01,745.09,6,8.62
260.75,0.01,746.06,6,8.61
261.10,0.01,747.03,6,8.61
261.44,0.01,747.98,6,8.61
261.78,0.01,748.94,6,8.61
262.12,0.01,749.89,6,8.60
262.46,0.01,750.84,6,8.60
262.79,0.01,751.70,6,8.60
263.12,0.01,752.50,6,8.59
263.45,0.01,753.43,6,8.59
263.77,0.01,754.34,6,8.59
264.10,0.01,755.45,6,8.59
264.45,0.00,756.61,6,8.58
264.80,0.00,757.60,6,8.58
265.14,0.00,758.54,6,8.58
265.48,-0.00,759.48,6,8.57
265.82,-0.00,760.43,6,8.57
266.15,-0.01,761.39,6,8.57
266.49,-0.01,762.34,6,8.57
266.82,-0.01,763.28,6,8.56
267.15,-0.01,764.21,6,8.56
267.48,-0.01,765.13,6,8.56
267.81,-0.01,766.06,6,8.55
268.13,-0.01,766.97,6,8.55
268.45,-0.01,767.88,6,8.55
268.77,-0.01,768.79,6,8.55
269.09,-0.01,769.68,6,8.54
269.40,-0.01,770.58,6,8.54
269.72,-0.01,771.46,6,8.54
270.03,-0.01,772.34,6,8.53
270.34,-0.01,773.22,6,8.53
270.65,-0.01,774.16,6,8.53
270.96,-0.01,775.15,6,8.52
271.26,-0.01,775.97,6,8.52
271.57,-0.01,776.75,6,8.52
271.88,-0.01,777.55,6,8.52
272.18,-0.01,778.36,6,8.51
272.48,-0.01,779.18,6,8.51
272.78,-0.01,780.02,6,8.51
273.07,-0.01,780.71,6,8.50
273.36,-0.01,781.54,6,8.50
273.65,-0.01,782.37,6,8.50
273.93,-0.01,783.00,6,8.49
274.21,-0.01,783.79,6,8.49
274.48,-0.01,784.61,6,8.49
