Speed,Yaw,RPM,Gear,Fuel
0.00,0.00,157.08,0,9.93
0.00,0.00,252.55,0,9.93
0.00,0.00,378.16,0,9.93
0.00,0.00,546.71,0,9.93
0.00,0.00,749.87,0,9.92
0.00,0.00,942.48,0,9.92
0.00,0.00,942.48,0,9.92
0.00,0.00,942.48,0,9.91
0.00,0.00,942.48,0,9.91
0.00,0.00,942.48,0,9.91
0.00,0.00,942.48,0,9.91
0.00,0.00,942.48,0,9.90
0.00,0.00,942.48,0,9.90
0.00,0.00,942.48,0,9.90
0.00,0.00,942.48,0,9.90
0.00,0.00,942.48,0,9.90
0.00,0.00,942.48,0,9.89
0.10,0.00,162.18,1,9.89
0.11,-0.00,170.36,1,9.89
0.10,-0.00,178.71,1,9.89
0.64,-0.00,157.08,1,9.89
2.33,-0.00,157.08,1,9.89
4.11,-0.00,157.08,1,9.89
5.76,-0.00,157.08,1,9.89
7.51,-0.00,176.94,1,9.89
9.63,-0.01,157.08,1,9.89
11.51,-0.01,157.08,1,9.89
13.31,-0.01,196.69,1,9.89
15.48,-0.01,224.50,1,9.89
17.71,-0.01,262.87,1,9.89
20.27,-0.02,311.31,1,9.89
23.05,-0.02,420.92,1,9.89
26.07,-0.02,524.75,1,9.88
29.00,-0.02,425.69,1,9.88
31.73,-0.02,720.63,1,9.88
33.91,-0.02,484.04,1,9.88
36.28,-0.02,830.28,1,9.88
38.13,-0.02,521.39,1,9.88
40.25,-0.02,912.58,1,9.87
42.03,-0.02,581.10,1,9.87
44.17,-0.02,961.96,1,9.87
46.06,-0.02,642.39,1,9.87
48.40,-0.02,951.50,1,9.87
50.83,-0.01,702.85,1,9.86
53.29,-0.01,940.14,1,9.86
56.17,-0.01,917.65,1,9.86
59.05,-0.01,946.85,1,9.86
61.71,-0.01,866.23,1,9.85
63.36,-0.00,518.51,2,9.85
63.33,-0.00,523.56,2,9.85
63.30,-0.00,528.92,2,9.85
63.27,-0.00,480.67,2,9.85
65.52,-0.00,547.91,2,9.85
68.11,-0.00,554.77,2,9.85
70.68,-0.00,574.28,2,9.84
73.25,-0.00,599.10,2,9.84
75.85,-0.00,624.66,2,9.84
78.48,-0.00,648.71,2,9.83
81.14,-0.00,670.15,2,9.83
83.82,-0.00,692.71,2,9.83
86.50,-0.00,710.90,2,9.82
89.18,-0.00,740.00,2,9.82
91.77,-0.00,745.94,2,9.81
94.33,-0.00,783.83,2,9.81
96.91,-0.00,785.71,2,9.81
99.52,-0.00,817.54,2,9.80
102.11,-0.00,826.98,2,9.80
104.67,-0.00,857.66,2,9.79
107.21,-0.00,865.33,2,9.79
109.72,-0.01,899.33,2,9.78
112.15,-0.01,901.13,2,9.78
112.25,-0.01,649.17,3,9.78
112.16,-0.01,649.28,3,9.78
112.06,-0.01,649.38,3,9.78
113.17,-0.01,651.11,3,9.78
115.06,-0.01,657.81,3,9.77
116.94,-0.00,669.59,3,9.77
118.83,-0.00,680.85,3,9.77
120.72,-0.01,692.05,3,9.76
122.63,-0.01,703.09,3,9.76
124.54,-0.01,714.06,3,9.75
126.46,-0.01,725.10,3,9.75
128.39,-0.01,736.69,3,9.75
130.32,-0.01,747.10,3,9.74
132.24,-0.01,757.54,3,9.74
134.14,-0.01,768.11,3,9.73
136.04,-0.01,778.69,3,9.73
137.92,-0.01,789.20,3,9.73
139.80,-0.01,799.19,3,9.72
141.66,-0.01,809.84,3,9.72
143.51,-0.01,820.29,3,9.71
145.36,-0.01,830.50,3,9.71
147.19,-0.01,840.63,3,9.70
149.01,-0.01,849.24,3,9.70
150.82,-0.01,860.10,3,9.69
152.61,-0.01,870.63,3,9.69
154.39,-0.01,880.52,3,9.68
154.36,-0.01,677.68,4,9.68
154.16,-0.01,676.51,4,9.68
153.96,-0.01,675.39,4,9.68
154.71,-0.01,678.99,4,9.68
156.07,-0.01,683.44,4,9.68
157.43,-0.01,689.20,4,9.67
158.78,-0.01,694.12,4,9.67
160.13,-0.01,701.33,4,9.67
161.48,-0.01,707.86,4,9.66
162.83,-0.01,713.73,4,9.66
164.20,-0.01,717.00,4,9.65
165.54,-0.01,723.95,4,9.65
166.89,-0.01,731.10,4,9.65
168.24,-0.01,737.37,4,9.64
169.59,-0.01,742.96,4,9.64
170.93,-0.01,749.38,4,9.63
172.27,-0.01,754.34,4,9.63
173.60,-0.01,759.74,4,9.63
174.92,-0.01,765.45,4,9.62
176.24,-0.01,771.15,4,9.62
177.53,-0.01,782.47,4,9.61
178.87,-0.01,783.89,4,9.61
180.18,-0.01,787.69,4,9.60
181.49,-0.01,793.09,4,9.60
182.78,-0.01,799.00,4,9.60
184.06,-0.01,808.83,4,9.59
185.36,-0.01,811.47,4,9.59
186.65,-0.01,815.57,4,9.58
187.93,-0.01,820.88,4,9.58
189.20,-0.01,826.59,4,9.57
190.46,-0.01,834.52,4,9.57
191.74,-0.01,838.17,4,9.56
193.00,-0.01,842.76,4,9.56
194.25,-0.01,848.09,4,9.55
195.48,-0.01,855.44,4,9.55
196.73,-0.01,859.91,4,9.55
197.96,-0.01,864.35,4,9.54
199.19,-0.01,869.29,4,9.54
199.01,-0.00,692.79,5,9.54
198.69,-0.00,690.92,5,9.54
198.38,-0.00,689.14,5,9.54
198.83,0.00,693.00,5,9.53
199.77,0.00,695.61,5,9.53
200.71,0.00,698.53,5,9.53
201.56,0.01,701.81,5,9.52
202.41,0.01,705.07,5,9.52
203.25,0.01,708.13,5,9.51
204.10,0.02,711.06,5,9.51
204.94,0.02,712.98,5,9.51
205.78,0.03,716.35,5,9.50
206.61,0.03,719.73,5,9.50
207.44,0.03,722.83,5,9.50
208.27,0.04,725.76,5,9.49
209.10,0.05,727.11,5,9.49
209.92,0.05,730.75,5,9.49
210.73,0.06,734.26,5,9.48
211.54,0.07,737.30,5,9.48
212.34,0.08,739.70,5,9.47
213.14,0.09,741.07,5,9.47
213.91,0.09,744.86,5,9.47
214.69,0.10,748.30,5,9.46
215.45,0.11,751.18,5,9.46
216.21,0.13,750.92,5,9.46
216.94,0.14,754.61,5,9.45
217.68,0.15,758.41,5,9.45
218.40,0.16,761.62,5,9.44
219.11,0.16,764.33,5,9.44
219.81,0.16,765.23,5,9.44
220.49,0.15,768.81,5,9.43
221.17,0.14,772.19,5,9.43
221.84,0.12,775.08,5,9.42
222.49,0.11,777.61,5,9.42
223.12,0.10,779.98,5,9.42
223.73,0.10,782.25,5,9.41
224.32,0.09,784.39,5,9.41
222.63,0.07,761.17,5,9.41
219.05,0.06,749.03,5,9.41
216.59,0.05,742.79,5,9.41
212.36,0.05,701.36,5,9.41
209.86,0.06,684.27,5,9.41
206.05,0.05,704.24,5,9.41
204.25,0.05,664.91,5,9.40
200.19,0.04,662.38,5,9.40
197.84,0.03,645.41,5,9.40
193.74,0.02,639.56,5,9.40
191.46,0.02,624.42,5,9.40
187.42,0.00,620.14,5,9.40
184.73,-0.01,631.92,5,9.40
182.11,-0.01,754.80,4,9.40
179.98,-0.02,742.51,4,9.40
177.62,-0.03,730.94,4,9.40
174.55,-0.04,744.29,4,9.40
172.54,-0.05,735.74,4,9.40
170.03,-0.05,699.78,4,9.40
168.09,-0.06,684.37,4,9.40
165.88,-0.06,710.35,4,9.40
164.03,-0.07,702.32,4,9.40
162.22,-0.07,694.48,4,9.40
159.93,-0.07,661.54,4,9.40
158.14,-0.08,647.33,4,9.40
157.37,-0.08,676.18,4,9.40
154.48,-0.09,659.01,4,9.40
153.41,-0.09,629.12,4,9.40
152.63,-0.09,655.97,4,9.40
149.80,-0.09,639.22,4,9.40
149.68,-0.09,646.34,4,9.40
146.94,-0.09,627.11,4,9.40
145.84,-0.08,594.46,4,9.40
144.99,-0.08,624.23,4,9.40
143.28,-0.07,614.29,4,9.40
141.70,-0.07,604.93,4,9.40
139.98,-0.06,597.65,4,9.40
139.62,-0.06,773.13,3,9.40
138.02,-0.05,760.21,3,9.40
136.81,-0.05,747.70,3,9.39
136.01,-0.05,756.95,3,9.39
134.36,-0.04,742.85,3,9.39
132.89,-0.04,730.31,3,9.39
131.94,-0.02,689.67,3,9.39
130.06,-0.00,719.72,3,9.39
130.36,0.02,734.91,3,9.39
127.85,0.04,703.01,3,9.39
127.86,0.06,716.94,3,9.39
126.33,0.08,698.96,3,9.39
124.88,0.11,686.70,3,9.39
123.96,0.13,648.71,3,9.39
123.32,0.16,687.01,3,9.39
121.45,0.19,644.33,3,9.39
120.86,0.21,673.37,3,9.39
120.31,0.24,634.78,3,9.39
118.78,0.26,624.88,3,9.39
118.22,0.28,657.80,3,9.39
116.95,0.30,643.13,3,9.39
117.07,0.33,654.27,3,9.39
114.62,0.35,630.49,3,9.39
114.77,0.33,641.26,3,9.38
113.56,0.31,624.63,3,9.38
112.69,0.29,599.36,3,9.38
112.24,0.26,623.09,3,9.38
110.99,0.24,610.57,3,9.38
110.10,0.22,585.77,3,9.38
109.68,0.20,608.78,3,9.38
107.81,0.17,577.41,3,9.38
107.40,0.16,596.57,3,9.38
106.14,0.14,584.14,3,9.38
106.27,0.13,593.20,3,9.38
104.87,0.11,580.02,3,9.38
103.54,0.10,569.88,3,9.38
103.65,0.09,579.46,3,9.38
102.26,0.08,565.82,3,9.38
101.56,0.07,538.21,3,9.38
101.08,0.06,561.73,3,9.38
100.53,0.04,530.56,3,9.38
100.08,0.03,552.48,3,9.38
98.91,0.02,544.37,3,9.38
98.99,0.01,549.82,3,9.38
99.71,0.01,565.70,3,9.37
98.84,-0.00,544.51,3,9.37
98.93,-0.01,548.57,3,9.37
99.62,-0.01,569.65,3,9.37
100.88,-0.02,588.35,3,9.37
102.42,-0.02,594.24,3,9.37
103.94,-0.03,600.35,3,9.36
105.46,-0.04,612.14,3,9.36
104.76,-0.05,576.69,3,9.36
104.81,-0.06,587.35,3,9.36
105.54,-0.06,600.71,3,9.36
106.83,-0.06,624.14,3,9.35
108.40,-0.07,628.89,3,9.35
109.97,-0.06,632.52,3,9.35
111.51,-0.06,644.53,3,9.35
113.10,-0.06,646.00,3,9.34
114.65,-0.05,658.80,3,9.34
116.24,-0.05,663.91,3,9.34
117.79,-0.05,677.48,3,9.33
119.38,-0.05,683.38,3,9.33
120.93,-0.05,697.21,3,9.33
122.62,-0.05,704.64,3,9.32
124.32,-0.04,719.89,3,9.32
126.04,-0.04,728.71,3,9.31
127.75,-0.04,738.96,3,9.31
129.44,-0.04,751.07,3,9.31
131.12,-0.04,761.25,3,9.30
132.78,-0.04,772.15,3,9.30
134.43,-0.04,781.76,3,9.29
136.06,-0.04,794.15,3,9.29
137.72,-0.04,800.30,3,9.28
139.34,-0.04,811.71,3,9.28
140.93,-0.05,825.61,3,9.27
142.57,-0.06,830.85,3,9.27
144.14,-0.06,839.74,3,9.27
145.68,-0.07,849.69,3,9.26
147.27,-0.08,867.53,3,9.26
148.80,-0.08,866.29,3,9.25
150.35,-0.07,875.00,3,9.25
151.92,-0.06,882.30,3,9.24
153.50,-0.04,889.43,3,9.24
154.65,-6.31,689.40,4,9.23
154.32,-6.31,687.69,4,9.23
154.00,-6.30,686.06,4,9.23
153.71,-6.29,655.55,4,9.23
154.90,-6.29,682.33,4,9.23
156.22,-6.29,685.58,4,9.23
157.55,-6.30,690.49,4,9.22
158.88,-6.30,696.16,4,9.22
160.21,-6.31,702.04,4,9.22
161.54,-6.31,707.97,4,9.21
162.87,-6.32,713.94,4,9.21
164.20,-6.32,719.96,4,9.20
165.52,-6.32,726.08,4,9.20
166.83,-6.32,732.00,4,9.20
168.15,-6.32,737.62,4,9.19
169.47,-6.33,742.98,4,9.19
170.78,-6.33,748.24,4,9.18
172.09,-6.34,753.76,4,9.18
173.41,-6.35,758.90,4,9.18
174.71,-6.34,765.05,4,9.17
176.02,-6.33,771.77,4,9.17
177.32,-6.32,777.65,4,9.16
178.62,-6.32,782.87,4,9.16
179.92,-6.31,787.66,4,9.15
181.21,-6.30,793.18,4,9.15
182.50,-6.30,798.73,4,9.14
183.78,-6.29,804.24,4,9.14
185.06,-6.29,809.68,4,9.14
186.33,-6.28,815.05,4,9.13
187.59,-6.28,820.37,4,9.13
188.85,-6.27,825.67,4,9.12
190.09,-6.27,830.82,4,9.12
191.32,-6.27,836.09,4,9.11
192.54,-6.27,841.41,4,9.11
193.75,-6.27,846.69,4,9.10
194.95,-6.27,851.93,4,9.10
196.12,-6.27,857.14,4,9.09
197.29,-6.28,862.32,4,9.09
198.43,-6.28,867.46,4,9.09
199.19,-6.29,695.22,5,9.08
198.77,-6.29,693.24,5,9.08
198.34,-6.30,691.36,5,9.08
197.89,-6.31,676.55,5,9.08
195.62,-6.32,670.61,5,9.08
191.22,-0.04,634.67,5,9.08
189.04,-0.05,620.05,5,9.08
185.19,-0.06,633.58,5,9.08
182.91,-0.08,762.28,4,9.08
178.98,-0.09,731.34,4,9.08
175.54,-0.08,710.71,4,9.08
