Speed,Yaw,RPM,Gear,Fuel
0.00,6.28,209.44,0,27.83
0.00,6.28,209.44,0,27.83
0.00,6.28,209.44,0,27.83
0.00,6.28,209.44,0,27.83
0.00,6.28,209.44,0,27.83
0.00,6.28,209.44,0,27.83
0.00,6.28,209.44,0,27.83
0.00,6.28,209.44,0,27.83
0.00,6.28,209.44,0,27.83
0.00,6.28,209.44,0,27.83
0.00,6.28,209.44,0,27.83
0.00,6.28,209.44,0,27.83
0.00,6.28,209.44,0,27.83
0.00,6.28,209.44,0,27.83
0.00,6.28,209.44,0,27.83
0.00,6.28,209.44,0,27.83
0.00,6.28,209.44,1,27.83
0.65,6.28,209.44,1,27.82
2.90,6.28,209.44,1,27.82
5.14,6.28,209.44,1,27.82
7.55,6.28,209.44,1,27.82
9.86,6.28,209.44,1,27.82
12.12,6.28,209.44,1,27.82
14.30,6.28,209.44,1,27.82
16.64,6.28,209.44,1,27.82
18.89,6.28,209.44,1,27.82
21.19,6.28,216.36,1,27.82
23.45,6.28,242.35,1,27.82
25.93,6.28,270.39,1,27.82
28.51,6.28,302.37,1,27.82
31.16,6.28,337.97,1,27.82
33.93,6.28,374.88,1,27.82
36.87,6.28,419.73,1,27.81
38.05,6.28,379.41,1,27.81
40.52,6.28,485.42,1,27.81
43.41,6.28,498.46,1,27.81
46.39,6.28,527.24,1,27.81
49.33,6.28,558.55,1,27.81
52.22,6.28,587.41,1,27.80
55.09,6.28,613.40,1,27.80
57.96,6.28,639.34,1,27.80
60.82,6.28,665.70,1,27.80
63.67,6.28,692.52,1,27.80
66.52,6.28,719.34,1,27.79
69.35,6.28,744.91,1,27.79
72.16,6.28,768.93,1,27.79
74.95,6.28,792.93,1,27.79
77.70,6.28,815.68,1,27.78
80.40,6.28,837.29,1,27.78
83.21,6.28,856.00,1,27.78
85.94,6.28,875.56,1,27.78
88.39,6.28,846.33,2,27.77
90.61,-0.00,733.73,2,27.77
92.95,-0.00,711.70,2,27.77
95.21,-0.02,717.53,2,27.76
97.20,-0.06,727.13,2,27.76
98.82,-0.10,737.07,2,27.76
100.25,-0.16,770.49,2,27.76
102.53,-0.18,769.04,2,27.75
104.80,-0.18,778.89,2,27.75
107.02,-0.18,794.66,2,27.75
109.21,-0.18,810.21,2,27.75
111.36,-0.18,825.32,2,27.74
113.49,-0.18,840.09,2,27.74
115.54,-0.18,853.92,2,27.74
117.43,-0.15,867.52,2,27.73
118.89,-0.12,806.93,3,27.73
120.02,-0.07,691.60,3,27.73
121.67,-0.06,668.56,3,27.73
123.34,-0.06,666.44,3,27.73
124.99,-0.06,671.00,3,27.72
126.64,-0.06,678.65,3,27.72
128.28,-0.06,687.32,3,27.72
129.91,-0.06,695.91,3,27.71
131.54,-0.06,704.49,3,27.71
133.16,-0.06,713.05,3,27.71
134.78,-0.06,721.57,3,27.71
136.38,-0.06,730.05,3,27.70
137.99,-0.06,738.43,3,27.70
139.57,-0.06,746.71,3,27.70
141.15,-0.06,754.90,3,27.70
142.71,-0.06,763.02,3,27.69
144.25,-0.06,771.06,3,27.69
145.77,-0.05,779.17,3,27.69
147.18,-0.03,787.74,3,27.68
148.55,0.00,795.45,3,27.68
150.05,0.00,801.42,3,27.68
151.52,0.00,808.89,3,27.68
