Speed,Yaw,RPM,Gear,Fuel
0.00,6.28,98.89,0,94.00
0.00,6.28,118.05,0,94.00
0.00,6.28,153.27,0,94.00
0.00,6.28,205.74,0,94.00
0.00,6.28,269.40,0,94.00
0.00,6.28,351.24,0,94.00
0.00,6.28,451.92,0,94.00
0.00,6.28,570.55,0,94.00
0.00,6.28,703.15,0,93.99
0.00,6.28,844.54,0,93.99
0.00,6.28,962.46,0,93.99
0.00,6.28,962.46,0,93.99
0.00,6.28,962.46,0,93.99
0.00,6.28,962.46,0,93.98
0.00,6.28,962.46,0,93.98
0.00,6.28,962.46,0,93.98
0.00,6.28,95.63,1,93.98
0.00,6.28,100.26,1,93.98
0.00,6.28,104.90,1,93.98
0.63,6.28,94.25,1,93.98
1.66,6.28,94.25,1,93.98
2.61,6.28,94.25,1,93.98
3.82,6.28,94.25,1,93.98
4.69,6.27,97.42,1,93.98
5.81,6.27,118.89,1,93.98
6.78,6.26,132.15,1,93.98
7.99,6.26,114.21,1,93.98
9.03,6.25,116.42,1,93.98
10.19,6.24,131.52,1,93.98
11.28,6.23,146.60,1,93.98
12.46,6.22,162.81,1,93.98
13.63,6.22,178.61,1,93.98
14.88,6.21,195.28,1,93.98
16.17,6.19,209.63,1,93.98
17.49,6.18,227.27,1,93.98
18.87,6.17,240.22,1,93.98
20.44,6.16,256.37,1,93.98
22.00,6.15,269.23,1,93.98
23.68,6.14,289.22,1,93.98
25.50,6.14,309.01,1,93.98
27.38,6.13,333.28,1,93.98
29.38,6.12,360.45,1,93.98
31.52,6.11,390.52,1,93.97
33.80,6.11,424.89,1,93.97
36.20,6.10,463.45,1,93.97
38.73,6.10,510.28,1,93.97
41.39,6.10,572.57,1,93.97
44.16,6.10,654.96,1,93.97
46.59,6.10,445.27,2,93.97
46.60,6.11,444.20,2,93.97
46.57,6.11,443.13,2,93.97
47.47,6.12,356.11,2,93.97
48.91,6.13,366.23,2,93.96
50.37,6.14,377.65,2,93.96
51.87,6.16,389.59,2,93.96
53.41,6.17,401.59,2,93.96
54.98,6.18,413.82,2,93.96
56.59,6.20,426.29,2,93.96
58.23,6.21,438.96,2,93.96
59.90,6.22,451.93,2,93.96
61.60,6.23,465.11,2,93.96
63.33,6.25,478.58,2,93.95
65.10,6.26,492.32,2,93.95
66.89,6.27,506.31,2,93.95
68.72,-0.01,520.61,2,93.95
70.58,-0.00,535.00,2,93.95
72.46,0.00,549.54,2,93.95
74.37,0.01,564.29,2,93.94
76.30,0.01,579.24,2,93.94
78.25,0.01,594.34,2,93.94
80.23,0.02,609.67,2,93.94
82.22,0.02,625.21,2,93.94
84.24,0.02,640.74,2,93.93
86.27,0.01,656.28,2,93.93
88.32,0.01,671.92,2,93.93
90.37,0.01,687.66,2,93.93
92.44,0.01,703.48,2,93.92
92.54,0.01,510.16,3,93.92
92.45,0.00,506.35,3,93.92
93.21,0.00,512.21,3,93.92
94.52,0.00,518.54,3,93.92
95.83,-0.00,525.91,3,93.92
97.15,-0.00,533.45,3,93.92
98.48,-0.00,540.84,3,93.92
99.82,-0.00,548.21,3,93.91
101.01,-0.00,550.79,3,93.91
101.71,-0.00,549.44,3,93.91
101.91,-0.00,545.53,3,93.91
101.66,-0.00,540.78,3,93.91
101.34,-0.00,539.08,3,93.91
101.03,-0.00,537.41,3,93.91
100.71,-0.00,535.74,3,93.91
100.39,-0.00,534.08,3,93.91
100.08,-0.00,532.42,3,93.91
99.91,0.00,534.88,3,93.91
100.14,0.00,537.65,3,93.91
100.01,0.00,532.08,3,93.91
99.85,0.00,534.52,3,93.91
100.07,0.00,537.30,3,93.91
99.95,0.00,531.73,3,93.91
99.93,0.00,536.63,3,93.91
100.12,0.00,535.94,3,93.91
99.92,0.00,533.27,3,93.91
100.07,0.00,539.04,3,93.91
100.11,0.00,534.28,3,93.91
99.86,0.00,532.91,3,93.91
100.01,0.00,538.68,3,93.91
100.05,0.00,533.93,3,93.91
99.89,-0.00,534.75,3,93.91
100.11,-0.00,537.54,3,93.91
99.99,-0.00,531.95,3,93.91
99.98,-0.00,536.86,3,93.91
100.16,-0.00,536.16,3,93.91
99.92,-0.00,531.58,3,93.91
99.91,-0.00,536.50,3,93.91
100.09,-0.00,535.80,3,93.91
99.90,-0.00,533.14,3,93.91
100.05,-0.00,538.91,3,93.90
100.09,-0.00,534.15,3,93.90
99.93,-0.00,534.98,3,93.90
100.15,-0.00,537.76,3,93.90
100.03,-0.00,532.17,3,93.90
99.86,-0.00,534.62,3,93.90
100.09,-0.00,537.40,3,93.90
99.96,-0.00,531.82,3,93.90
99.95,-0.00,536.73,3,93.90
100.14,-0.00,536.03,3,93.90
99.90,-0.00,531.45,3,93.90
99.88,-0.00,536.37,3,93.90
100.27,-0.00,539.99,3,93.90
100.31,-0.00,535.32,3,93.90
100.01,-0.00,532.01,3,93.90
99.84,-0.00,534.49,3,93.90
100.15,-0.00,541.09,3,93.90
100.36,-0.00,537.20,3,93.90
100.12,-0.00,532.60,3,93.90
99.85,-0.00,532.87,3,93.90
100.00,-0.00,538.63,3,93.90
100.04,-0.00,533.89,3,93.90
99.88,-0.00,534.71,3,93.90
100.09,-0.00,537.42,3,93.90
99.98,-0.00,531.91,3,93.90
99.97,-0.00,536.81,3,93.90
100.14,-0.00,536.03,3,93.90
99.92,-0.00,531.57,3,93.90
99.90,-0.00,536.49,3,93.90
100.26,-0.00,539.92,3,93.90
100.29,-0.00,535.24,3,93.90
100.02,-0.00,532.08,3,93.90
99.86,-0.00,534.62,3,93.90
100.07,-0.00,537.29,3,93.90
99.96,-0.00,531.80,3,93.90
99.94,-0.00,536.69,3,93.90
100.11,-0.00,535.91,3,93.90
99.94,-0.00,533.34,3,93.90
100.07,-0.00,539.03,3,93.90
100.11,-0.00,534.26,3,93.90
99.87,-0.00,533.01,3,93.90
100.01,-0.00,538.70,3,93.90
100.05,-0.00,533.93,3,93.90
99.90,-0.00,534.83,3,93.89
100.11,-0.00,537.51,3,93.89
100.00,-0.00,532.00,3,93.89
99.98,-0.00,536.90,3,93.89
100.15,-0.00,536.11,3,93.89
99.93,-0.00,531.66,3,93.89
99.92,-0.00,536.57,3,93.89
100.09,-0.00,535.79,3,93.89
99.91,-0.00,533.22,3,93.89
100.05,-0.00,538.91,3,93.89
100.09,-0.00,534.14,3,93.89
99.85,-0.00,532.89,3,93.89
99.99,-0.00,538.58,3,93.89
100.31,-0.00,538.54,3,93.89
100.20,-0.00,533.06,3,93.89
99.91,-0.00,531.51,3,93.89
99.90,-0.00,536.46,3,93.89
100.25,-0.00,539.88,3,93.89
100.29,-0.00,535.21,3,93.89
100.01,-0.00,532.05,3,93.89
99.86,-0.00,534.59,3,93.89
100.14,-0.00,541.05,3,93.89
100.33,-0.00,537.05,3,93.89
100.11,-0.01,532.59,3,93.89
99.87,-0.03,532.96,3,93.89
99.99,-0.04,538.65,3,93.89
100.30,-0.04,538.55,3,93.89
100.16,-0.04,532.81,3,93.89
99.89,-0.04,533.05,3,93.89
99.98,-0.03,538.88,3,93.89
100.25,-0.03,538.49,3,93.89
100.09,-0.02,532.35,3,93.89
99.89,-0.02,534.86,3,93.89
100.11,-0.01,541.55,3,93.89
100.25,-0.01,536.76,3,93.89
99.99,-0.00,531.75,3,93.89
99.92,0.00,536.85,3,93.89
100.05,0.01,535.68,3,93.89
99.84,0.01,532.79,3,93.89
99.94,0.01,538.59,3,93.89
100.23,0.01,538.29,3,93.88
100.11,0.03,531.71,3,93.88
99.86,0.04,532.84,3,93.88
99.99,0.05,538.64,3,93.88
100.32,0.05,538.58,3,93.88
100.22,0.05,533.21,3,93.88
99.95,0.05,531.70,3,93.88
99.94,0.04,536.71,3,93.88
100.12,0.03,535.95,3,93.88
99.91,0.03,531.52,3,93.88
99.91,0.02,536.52,3,93.88
100.09,0.01,536.31,3,93.88
99.94,0.01,533.30,3,93.88
100.09,0.00,539.13,3,93.88
100.16,-0.00,534.51,3,93.88
99.94,-0.00,533.38,3,93.88
100.02,-0.01,535.43,3,93.88
100.05,-0.01,537.24,3,93.88
99.96,-0.01,531.82,3,93.88
99.97,-0.01,536.85,3,93.88
100.17,-0.01,536.20,3,93.88
99.98,-0.01,531.87,3,93.88
99.99,-0.01,536.92,3,93.88
100.18,-0.00,536.26,3,93.88
99.99,-0.00,531.93,3,93.88
100.00,-0.00,536.98,3,93.88
100.19,-0.00,536.32,3,93.88
100.00,-0.00,531.99,3,93.88
100.01,-0.00,537.04,3,93.88
99.92,0.00,531.61,3,93.88
99.94,0.00,536.64,3,93.88
100.13,0.02,536.12,3,93.88
99.94,0.03,531.64,3,93.88
99.95,0.04,536.73,3,93.88
100.13,0.04,536.03,3,93.88
