Frame,Happy,Engaged,Glasses,Left Eye,Right Eye,Looking Away,Mouth Move,Mouth Open,Yaw,Pitch,Roll
0,0,1,0,0,0,0,0,0,5,-10,0
1,0,1,0,0,0,1,0,0,5,-10,0
2,0,1,0,0,0,0,1,0,5,-10,0
3,0,1,0,0,0,0,1,0,5,-10,0
4,0,1,0,0,0,0,1,0,5,-10,0
5,0,0,1,0,0,0,0,1,20,-10,0
6,0,1,1,0,0,0,1,0,5,-10,0
7,0,1,1,0,0,0,0,0,10,-10,-5
8,0,1,1,0,0,0,0,0,5,-10,0
9,0,1,1,0,0,0,1,0,5,-10,0
10,0,1,0,0,0,0,1,0,5,-10,0
11,0,1,0,0,0,0,1,0,5,-5,0
12,0,1,0,0,0,0,1,0,5,-5,0
13,0,1,1,0,0,0,1,0,5,-5,5
14,0,1,1,0,0,0,1,0,5,-5,0
15,0,1,1,0,0,0,1,0,5,0,5
16,0,1,1,0,0,0,0,0,5,0,0
17,0,1,1,0,0,1,0,0,5,0,0
18,0,1,1,0,0,0,0,0,5,0,0
19,0,1,1,0,0,0,0,0,0,0,0
20,0,1,1,0,0,0,0,0,5,0,0
21,0,1,1,0,0,0,0,0,0,-5,0
22,0,1,1,0,0,1,0,0,0,0,0
23,0,1,1,0,0,0,0,0,0,-5,0
24,0,1,1,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,15,0,0
26,0,1,0,0,0,0,0,0,5,0,0
27,0,1,0,0,0,0,0,0,0,0,0
28,0,1,0,0,0,1,0,0,5,0,0
29,0,1,0,0,0,0,0,0,5,0,0
30,0,1,0,0,0,0,0,0,0,0,0
31,0,1,0,0,0,0,0,0,0,-5,0
32,0,1,0,0,0,0,0,0,5,-5,0
33,0,1,0,0,0,0,1,0,5,0,-5
34,0,1,1,0,0,0,1,0,0,0,0
35,0,1,1,0,0,0,1,0,5,-5,0
36,0,1,1,0,0,0,1,0,0,0,0
37,0,1,1,0,0,1,1,0,0,-5,0
