Frame,Happy,Engaged,Glasses,Left Eye,Right Eye,Looking Away,Mouth Move,Mouth Open,Yaw,Pitch,Roll
0,0,1,0,0,0,0,0,0,5,-10,5
1,0,1,0,0,0,0,0,0,5,-10,5
2,0,1,0,0,0,0,0,0,0,-10,5
3,0,1,0,0,0,0,0,0,5,-10,5
4,0,1,0,0,0,0,0,0,5,-10,5
5,0,1,0,0,0,0,0,0,5,-15,0
6,0,1,0,0,0,0,0,0,5,-10,5
7,0,1,0,0,0,0,0,0,5,-15,5
8,0,1,0,0,0,0,0,0,5,-15,5
9,0,1,0,0,0,0,0,0,5,-15,5
10,0,1,0,0,0,0,0,0,5,-15,5
11,0,1,1,0,0,0,0,0,5,-10,5
12,0,1,1,0,0,0,0,0,5,-15,5
13,0,1,1,0,0,0,0,0,5,-10,5
14,0,1,0,0,0,0,0,0,5,-10,5
15,0,1,0,0,0,1,0,0,5,-10,5
16,0,1,0,0,0,0,0,0,5,-10,5
17,0,1,0,0,0,1,0,0,5,-10,5
18,0,1,0,0,0,0,0,0,5,-10,5
19,0,1,0,0,0,1,0,0,5,-10,5
20,0,1,0,0,0,0,0,0,5,-10,5
21,0,1,0,0,0,0,0,0,5,-5,5
22,0,1,0,0,0,0,0,0,5,-5,5
23,0,1,0,0,0,0,0,0,5,-5,5
24,0,1,0,0,0,0,0,0,5,-5,5
25,0,1,0,0,0,0,0,0,5,-5,5
26,0,1,1,0,0,0,0,0,5,-5,5
27,0,1,1,0,0,0,0,0,5,-5,5
28,0,1,1,0,0,0,0,0,5,-5,5
29,0,1,0,0,0,0,0,0,5,-5,0
30,0,1,0,0,0,0,0,0,5,-5,5
31,0,1,0,0,0,0,0,0,5,-5,5
32,0,1,0,0,0,0,0,0,5,-10,5
33,0,1,0,0,0,0,0,0,5,-10,5
34,0,1,0,0,0,0,0,0,5,-10,5
35,0,1,0,0,0,1,0,0,5,-10,5
36,0,1,0,0,0,0,0,0,5,-5,5
37,0,1,0,0,0,0,0,0,0,-10,0
38,0,1,0,0,0,0,0,0,5,-10,0
39,0,1,0,0,0,1,0,0,5,-10,0
40,0,1,0,0,0,0,0,0,5,-10,0
41,0,1,0,0,0,1,0,0,5,-10,5
42,0,1,0,0,0,0,0,0,0,-10,5
43,0,1,0,0,0,0,0,0,5,-10,0
44,0,1,0,0,0,0,0,0,5,-10,5
45,0,1,0,0,0,0,0,0,5,-10,5
46,0,1,0,0,0,0,0,0,5,-10,5
47,0,1,0,0,0,0,0,0,0,-10,0
48,0,1,0,0,0,0,0,0,5,-10,5
49,0,1,0,0,0,0,0,0,5,-10,5
50,0,1,0,0,0,0,0,0,5,-10,0
51,0,1,0,0,0,0,0,0,5,-10,0
52,0,1,0,0,0,0,0,0,5,-10,0
53,0,1,0,0,0,0,0,0,0,-10,0
54,0,1,0,0,0,0,0,0,5,-10,0
55,0,1,0,0,0,0,0,0,5,-10,0
56,0,1,0,0,0,0,0,0,5,-10,5
57,0,1,0,0,0,0,0,0,0,-10,0
58,0,1,0,0,0,0,0,0,5,-10,5
59,0,1,0,0,0,0,0,0,5,-10,5
60,0,1,0,0,0,0,0,0,0,-10,0
61,0,1,0,0,0,0,0,0,0,-10,0
62,0,1,0,0,0,0,0,0,0,-10,5
63,0,1,0,0,0,0,0,0,0,-10,0
64,0,1,0,0,0,0,0,0,0,-10,5
65,0,1,0,0,0,0,0,0,0,-10,0
66,0,1,0,0,0,0,0,0,5,-10,0
67,0,1,0,0,0,0,0,0,0,-10,0
68,0,1,0,0,0,0,0,0,5,-10,0
69,0,1,0,0,0,1,0,0,5,-10,0
70,0,1,0,0,0,0,0,0,0,-10,0
71,0,1,0,0,0,0,0,0,-5,-10,0
72,0,1,0,0,0,0,0,0,0,-10,0
