Speed,Yaw,RPM,Gear,Fuel
-0.03,6.28,290.42,0,8.66
-0.03,6.28,431.29,0,8.66
-0.03,6.28,584.53,0,8.66
-0.03,6.28,739.01,0,8.65
-0.03,6.28,881.46,0,8.65
-0.03,6.28,890.12,0,8.65
-0.03,6.28,890.12,0,8.65
-0.03,6.28,890.12,0,8.65
-0.03,6.28,890.12,0,8.65
-0.03,6.28,890.12,0,8.64
-0.03,6.28,890.12,0,8.64
-0.03,6.28,890.12,0,8.64
-0.03,6.28,890.12,0,8.64
-0.03,6.28,890.12,0,8.64
-0.03,6.28,890.12,0,8.64
-0.03,6.28,890.12,0,8.64
-0.04,6.28,890.12,1,8.64
0.63,6.28,888.78,1,8.63
1.35,6.28,888.55,1,8.63
2.05,6.28,888.32,1,8.63
2.89,6.28,888.01,1,8.63
4.02,6.28,887.53,1,8.63
5.18,6.28,889.66,1,8.63
6.91,6.28,886.16,1,8.62
8.91,6.28,877.46,1,8.62
11.14,6.28,855.47,1,8.62
13.56,6.28,834.34,1,8.62
16.13,6.28,796.19,1,8.61
18.85,6.28,728.62,1,8.61
21.63,6.28,637.68,1,8.61
24.38,6.28,555.84,1,8.61
27.12,6.28,495.63,1,8.60
29.94,6.28,468.32,1,8.60
32.65,6.28,463.55,1,8.60
35.35,6.28,473.27,1,8.60
38.05,6.27,488.59,1,8.60
40.75,6.27,508.09,1,8.60
43.42,6.27,531.68,1,8.60
46.07,6.27,551.07,1,8.59
48.75,6.27,573.66,1,8.59
51.43,6.27,595.62,1,8.59
54.11,6.27,621.15,1,8.59
56.78,-0.02,643.80,1,8.59
59.46,-0.01,667.44,1,8.58
61.61,-0.01,697.00,1,8.58
64.18,-0.00,704.28,1,8.58
66.86,0.00,734.14,1,8.58
69.55,0.01,750.02,1,8.57
72.19,0.01,783.43,1,8.57
75.16,0.02,802.68,1,8.57
78.06,0.02,830.06,1,8.57
80.85,0.03,858.13,1,8.56
83.64,0.04,863.09,1,8.56
83.76,0.04,626.10,2,8.56
83.63,0.05,618.11,2,8.56
84.97,0.06,660.40,2,8.56
87.50,0.07,657.50,2,8.56
89.91,0.07,677.61,2,8.55
92.28,0.08,698.53,2,8.55
94.66,0.09,712.80,2,8.55
97.00,0.10,731.49,2,8.55
99.32,0.10,748.48,2,8.54
101.62,0.11,763.93,2,8.54
103.89,0.12,780.18,2,8.54
106.13,0.12,796.19,2,8.53
108.35,0.12,812.36,2,8.53
110.54,0.11,827.18,2,8.53
112.12,0.11,605.20,3,8.52
111.93,0.10,598.46,3,8.52
111.73,0.10,584.54,3,8.52
113.32,0.09,612.18,3,8.52
115.03,0.09,620.04,3,8.52
116.73,0.08,629.46,3,8.52
118.42,0.08,638.94,3,8.51
120.10,0.08,647.79,3,8.51
121.77,0.07,656.51,3,8.51
123.43,0.07,665.29,3,8.51
125.09,0.07,673.91,3,8.50
126.73,0.06,682.52,3,8.50
128.36,0.06,691.10,3,8.50
129.98,0.06,699.67,3,8.50
131.59,0.05,708.11,3,8.49
133.19,0.05,716.50,3,8.49
134.78,0.05,724.90,3,8.49
136.36,0.04,733.18,3,8.48
137.93,0.04,741.37,3,8.48
139.49,0.03,749.52,3,8.48
141.03,0.03,757.59,3,8.48
142.56,0.03,765.59,3,8.47
144.08,0.02,773.50,3,8.47
145.59,0.02,781.38,3,8.47
147.08,0.01,789.20,3,8.46
148.57,0.01,796.89,3,8.46
150.03,0.00,804.58,3,8.46
151.49,-0.00,812.21,3,8.45
152.94,-0.01,819.68,3,8.45
153.36,-0.01,657.97,4,8.45
153.06,-0.02,648.17,4,8.45
153.16,-0.02,664.22,4,8.45
154.39,-0.03,668.27,4,8.45
155.60,-0.03,673.26,4,8.44
156.80,-0.04,678.52,4,8.44
158.00,-0.05,683.82,4,8.44
159.19,-0.05,688.90,4,8.44
160.37,-0.06,693.83,4,8.43
161.54,-0.07,698.88,4,8.43
162.71,-0.07,703.73,4,8.43
163.87,-0.08,708.73,4,8.42
165.03,-0.09,713.69,4,8.42
166.17,-0.09,718.45,4,8.42
167.31,-0.10,723.37,4,8.42
168.44,-0.11,728.23,4,8.41
169.57,-0.11,732.90,4,8.41
170.68,-0.12,737.73,4,8.41
171.79,-0.13,742.29,4,8.40
172.89,-0.14,747.05,4,8.40
173.98,-0.15,751.75,4,8.40
175.07,-0.15,756.21,4,8.40
176.14,-0.16,760.89,4,8.39
177.21,-0.17,765.24,4,8.39
178.27,-0.18,769.83,4,8.39
179.31,-0.18,774.31,4,8.38
180.35,-0.15,777.28,4,8.38
181.37,-0.12,781.09,4,8.38
182.37,-0.09,786.06,4,8.37
183.36,-0.05,791.27,4,8.37
