Frame,Happy,Engaged,Glasses,Left Eye,Right Eye,Looking Away,Mouth Move,Mouth Open,Yaw,Pitch,Roll
0,0,1,1,0,0,0,0,0,5,10,-10
1,0,1,1,0,0,0,0,0,0,10,-10
2,0,1,1,0,0,0,0,0,5,10,-5
3,0,1,1,0,0,0,0,0,5,15,-5
4,0,1,1,0,0,0,0,0,10,15,0
5,0,1,1,1,0,0,1,0,10,15,5
6,0,0,1,0,0,0,1,0,10,15,5
7,0,0,1,0,0,0,1,0,15,15,10
8,0,0,1,0,0,1,1,1,15,15,10
9,0,0,1,0,0,0,1,0,15,15,10
10,0,0,1,0,0,0,1,0,15,15,10
11,0,0,1,0,0,0,1,0,15,15,10
12,0,0,1,0,0,0,1,0,15,15,10
13,0,0,1,0,0,0,0,1,20,15,10
14,0,0,1,0,0,0,0,1,20,15,10
15,0,0,1,0,0,0,0,0,15,15,10
16,0,0,1,0,0,0,0,0,15,10,5
17,0,0,1,0,0,0,0,0,20,10,10
18,0,0,1,0,0,0,0,0,20,10,5
19,0,0,1,0,0,0,0,0,20,10,5
20,0,0,1,0,0,0,0,0,15,10,5
21,0,0,1,0,0,0,0,0,15,10,5
22,0,0,1,0,0,0,0,0,15,5,5
23,0,0,1,0,0,0,0,0,15,5,5
24,0,0,1,0,0,0,1,1,20,5,0
25,0,0,1,0,0,0,0,0,15,5,0
26,0,0,1,0,0,0,0,0,15,0,0
27,0,0,0,0,0,0,0,0,15,0,0
28,0,0,0,0,0,0,1,0,20,0,-5
29,0,0,0,0,0,0,0,0,20,0,0
30,0,0,0,0,0,0,0,0,20,0,0
31,0,0,1,0,0,0,0,0,20,0,-5
32,0,0,1,0,0,0,0,0,20,0,-5
33,0,0,0,0,0,0,0,0,20,0,-5
34,0,0,0,0,0,0,1,0,20,0,-5
35,0,0,0,0,0,0,0,0,20,0,-5
36,0,0,0,0,0,0,1,0,15,0,-5
37,0,0,0,0,0,0,1,0,20,0,-5
38,0,0,0,0,0,0,1,0,20,0,-10
39,0,0,0,0,0,0,1,0,20,0,-10
40,0,0,0,0,0,0,1,0,15,0,-5
41,0,0,0,0,0,0,1,0,20,-5,-10
42,0,0,0,0,0,0,1,0,15,-5,-10
43,0,0,0,0,0,0,1,0,15,-5,-10
44,0,0,0,0,0,0,1,0,20,-5,-10
45,0,0,0,0,0,0,1,0,15,-5,-10
46,0,0,0,0,0,0,0,0,15,-5,-10
