Frame,Happy,Engaged,Glasses,Left Eye,Right Eye,Looking Away,Mouth Move,Mouth Open,Yaw,Pitch,Roll
0,0,1,0,0,0,0,0,0,-15,5,-5
1,0,1,0,0,0,0,1,0,-15,5,-10
2,0,1,1,0,0,1,1,0,-10,5,-10
3,0,1,1,0,0,1,1,0,-10,5,-10
4,0,1,1,0,0,1,1,0,-10,0,-10
5,0,1,0,0,0,1,1,0,-5,-5,-10
6,0,1,0,0,0,0,1,0,-5,-5,-10
7,0,1,0,0,0,0,1,0,5,0,-10
8,0,1,0,0,0,0,1,0,0,0,-10
9,0,1,0,0,0,0,1,0,0,0,-10
10,0,1,0,0,0,0,1,0,0,5,-10
11,0,1,0,0,0,0,1,0,5,0,-10
12,0,1,0,0,0,0,1,0,10,0,-10
13,0,1,0,0,0,0,1,0,10,0,-10
14,0,0,0,0,0,0,1,0,15,0,-10
15,0,0,0,0,0,0,1,0,15,0,-10
16,0,1,0,0,0,0,1,0,10,0,-10
17,0,1,0,0,0,0,1,0,10,5,-10
18,0,1,0,0,0,0,0,0,10,5,-10
19,0,1,0,0,0,0,0,0,10,5,-5
20,0,0,1,0,0,0,1,0,15,5,0
21,0,0,1,0,0,0,1,0,15,5,0
22,0,0,0,0,0,0,1,1,20,5,-5
23,0,0,0,0,0,0,1,1,20,10,-5
24,0,0,0,0,0,0,1,0,15,10,-5
25,0,0,0,0,0,0,1,1,20,5,-5
26,0,0,0,0,0,0,0,1,20,5,-10
27,0,0,0,0,0,0,0,0,15,5,-10
28,0,0,0,0,0,0,1,0,10,5,-10
29,0,1,0,0,1,0,1,0,0,5,-5
30,0,0,0,1,1,0,1,0,-10,5,-5
31,0,0,1,1,1,1,1,0,-10,5,-10
32,0,1,1,1,0,0,1,0,-15,5,-5
33,0,1,1,0,0,0,1,0,-15,5,-10
34,0,1,1,0,0,0,1,0,-10,5,-5
35,0,1,1,0,0,0,1,0,-15,0,-10
36,0,1,1,0,0,0,1,0,-15,0,-10
37,0,1,1,0,0,0,1,0,-10,0,-10
38,0,1,1,0,0,0,1,0,-15,0,-10
39,0,1,1,0,0,0,1,0,-15,0,-10
40,0,1,1,0,0,0,1,0,-10,0,-10
41,0,1,1,0,0,0,1,0,-10,0,-10
42,0,1,1,0,0,0,1,0,-10,-5,-10
43,0,1,1,0,0,0,1,0,-10,0,-10
44,0,1,1,0,0,0,1,0,-15,-5,-10
45,0,1,1,0,0,0,1,0,-15,-5,-10
46,0,1,0,0,0,0,1,0,-15,-5,-10
47,0,1,0,0,0,0,1,0,-10,-5,-5
48,0,1,0,0,0,0,1,0,-10,-5,-5
49,0,1,0,0,0,0,0,0,-10,-5,-5
50,0,1,0,0,0,0,1,0,-10,-5,-10
51,0,1,0,0,0,0,1,0,-10,-5,-10
52,0,1,1,0,0,0,1,0,-10,-5,-10
53,0,1,1,0,0,0,1,0,-5,-5,-15
54,0,1,1,0,0,0,1,0,-10,0,-15
55,0,1,0,0,0,0,1,0,-5,0,-10
56,0,1,0,0,0,0,1,0,-5,0,-10
57,0,1,0,0,0,0,1,0,-5,0,-5
58,0,1,0,0,0,0,1,0,0,0,-10
59,0,1,0,0,0,0,1,0,0,-5,-5
60,0,1,0,0,0,0,1,0,-5,-5,-5
61,0,1,1,0,0,0,0,0,0,-10,-10
62,0,1,1,0,0,0,0,0,0,-10,-10
63,0,1,1,0,0,0,0,0,5,-10,-10
64,0,1,0,0,0,0,1,0,-5,-10,-10
65,0,1,0,0,0,0,1,0,-10,-10,-10
66,0,1,0,0,0,0,1,0,-10,-10,-10
67,0,1,0,0,0,0,1,0,-10,-10,-5
68,0,1,0,0,0,0,1,0,-15,-10,-10
69,0,1,0,0,0,0,1,0,-15,-10,-5
70,0,1,0,0,0,0,1,0,-20,-10,-5
71,0,1,0,0,0,0,1,0,-15,-10,-10
72,0,1,0,0,0,0,1,0,-15,-10,-5
73,0,1,0,0,0,0,1,0,-15,-10,-5
74,0,1,0,0,0,0,0,0,-10,-10,-5
75,0,1,0,0,0,0,1,0,-10,-10,-5
76,0,1,0,0,0,0,1,0,-5,-10,-10
77,0,1,0,0,0,0,1,0,-10,-5,-5
78,0,1,0,0,0,0,1,0,-10,0,-5
79,0,1,0,0,0,0,1,0,-10,5,-5
80,0,1,0,0,0,0,1,0,-5,5,-5
81,0,1,0,0,0,0,1,0,-5,5,-5
82,0,1,0,0,0,0,1,0,-5,-5,-5
83,0,1,0,0,0,0,1,0,-5,-5,-5
84,0,1,0,0,0,0,1,0,0,5,-5
85,0,1,0,0,0,0,1,0,-5,10,-5
86,0,1,0,0,0,0,1,0,-5,10,-5
87,0,1,0,0,0,0,1,0,0,5,-5
88,0,1,0,0,0,0,1,0,5,0,-5
89,0,1,0,0,0,0,1,0,10,-5,-5
90,0,1,0,0,0,0,1,0,10,-5,-5
91,0,0,0,0,0,0,1,0,15,0,-10
92,0,0,0,0,0,0,1,0,15,5,-10
93,0,0,0,0,0,0,1,1,20,5,-10
94,0,0,1,0,0,0,1,0,20,5,-10
95,0,0,1,0,0,0,1,0,20,0,-5
96,0,0,1,0,0,1,1,0,15,0,-5
97,0,0,0,0,0,0,1,0,15,0,-5
98,0,1,0,0,0,0,1,0,10,5,-5
99,0,1,0,0,0,0,1,0,10,5,-5
100,0,1,0,0,0,0,1,0,10,5,-5
101,0,0,0,0,0,0,0,1,25,5,-10
102,-1,0,-1,-1,-1,-1,-1,1,25,5,-10
103,-1,0,-1,-1,-1,-1,-1,1,35,5,-10
104,-1,0,-1,-1,-1,-1,-1,1,35,5,-10
105,-1,0,-1,-1,-1,-1,-1,1,35,5,-10
106,-1,0,-1,-1,-1,-1,-1,1,40,5,-10
107,-1,0,-1,-1,-1,-1,-1,1,35,5,-10
108,-1,0,-1,-1,-1,-1,-1,1,35,5,-10
109,-1,0,-1,-1,-1,-1,-1,1,40,5,-10
110,-1,0,-1,-1,-1,-1,-1,1,40,5,-10
111,-1,0,-1,-1,-1,-1,-1,1,35,10,-10
112,-1,0,-1,-1,-1,-1,-1,1,35,10,-10
113,-1,0,-1,-1,-1,-1,-1,1,35,5,-10
114,-1,0,-1,-1,-1,-1,-1,1,35,5,-10
115,-1,0,-1,-1,-1,-1,-1,1,35,5,-10
116,-1,0,-1,-1,-1,-1,-1,1,40,10,-10
117,-1,0,-1,-1,-1,-1,-1,1,40,10,-10
118,-1,0,-1,-1,-1,-1,-1,1,35,10,-10
119,-1,0,-1,-1,-1,-1,-1,1,35,10,-5
120,-1,0,-1,-1,-1,-1,-1,1,40,10,-10
121,-1,0,-1,-1,-1,-1,-1,1,40,10,0
122,-1,0,-1,-1,-1,-1,-1,1,40,10,-5
123,-1,0,-1,-1,-1,-1,-1,1,40,10,-5
124,-1,0,-1,-1,-1,-1,-1,1,35,10,0
125,-1,0,-1,-1,-1,-1,-1,1,35,10,0
126,-1,0,-1,-1,-1,-1,-1,1,35,5,0
127,-1,0,-1,-1,-1,-1,-1,1,35,5,0
128,-1,0,-1,-1,-1,-1,-1,1,35,5,0
129,-1,0,-1,-1,-1,-1,-1,1,35,5,0
130,-1,0,-1,-1,-1,-1,-1,1,25,5,0
131,-1,0,-1,-1,-1,-1,-1,1,30,0,0
132,-1,0,-1,-1,-1,-1,-1,1,35,-10,-10
133,-1,0,-1,-1,-1,-1,-1,1,40,-15,-10
134,-1,0,-1,-1,-1,-1,-1,1,35,-15,-10
135,-1,0,-1,-1,-1,-1,-1,1,35,-10,-5
136,-1,0,-1,-1,-1,-1,-1,1,35,-10,-10
137,-1,0,-1,-1,-1,-1,-1,1,35,-5,-5
138,-1,0,-1,-1,-1,-1,-1,1,35,0,-5
139,-1,0,-1,-1,-1,-1,-1,1,35,0,-5
140,-1,0,-1,-1,-1,-1,-1,1,35,5,0
141,-1,0,-1,-1,-1,-1,-1,1,30,5,-5
142,-1,0,-1,-1,-1,-1,-1,1,30,5,-5
143,-1,0,-1,-1,-1,-1,-1,1,30,5,0
144,-1,0,-1,-1,-1,-1,-1,1,30,5,-5
145,-1,0,-1,-1,-1,-1,-1,1,30,5,-5
146,-1,0,-1,-1,-1,-1,-1,1,30,5,0
147,-1,0,-1,-1,-1,-1,-1,1,30,5,0
148,-1,0,-1,-1,-1,-1,-1,1,30,5,-5
