Distraction,Phone,Happy,Sleep
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.125,0,0,0
0.374625125,0,0,0
0.74812749812575,0,0,0
1.2443899737814736,0,0,0
1.86193170474975,0,0,0
2.5989155044118566,0,0,0
3.453156952863056,0,0,0
4.422135183756566,0,0,0
5.503005277332389,0,0,0
6.69261217437163,0,0,0
7.870376392247537,0,0,0
9.036415826249819,0,0,0
10.19084719800645,0,0,0
11.333786067167615,0,0,0
12.352699542515868,0,0,0
13.250730122132751,0,0,0
14.030632183925954,0,0,0
14.69478606802864,0,0,0
15.245210188049901,0,0,0
15.683571257468234,0,0,0
16.01119270372603,0,0,0
16.33783226818177,0,0,0
16.663492893536198,0,0,0
16.88005757124202,0,0,0
17.096189336157106,0,0,0
17.31188905367413,0,0,0
17.527157587455836,0,0,0
17.741995799438513,0,0,0
17.956404549835433,0,0,0
18.170384697140314,0,0,0
18.38393709813073,0,0,0
18.490553161032597,0,0,0
18.490553161032597,0,0,0
18.490553161032597,0,0,0
18.490553161032597,0,0,0
18.490553161032597,0,0,0
18.490553161032597,0,0,0
18.490553161032597,0,0,0
18.597062607871564,0,0,0
