Speed,Yaw,RPM,Gear,Fuel
0.00,6.28,95.79,0,94.00
0.00,6.28,109.98,0,94.00
0.00,6.28,139.59,0,94.00
0.00,6.28,187.14,0,94.00
0.00,6.28,246.35,0,94.00
0.00,6.28,321.85,0,94.00
0.00,6.28,416.23,0,94.00
0.00,6.28,529.17,0,94.00
0.00,6.28,657.80,0,94.00
0.00,6.28,796.59,0,93.99
0.00,6.28,934.58,0,93.99
0.00,6.28,962.46,0,93.99
0.00,6.28,962.46,0,93.99
0.00,6.28,962.46,0,93.99
0.00,6.28,962.46,0,93.98
0.00,6.28,962.46,0,93.98
0.00,6.28,962.46,0,93.98
0.00,6.28,98.72,1,93.98
0.00,6.28,103.36,1,93.98
0.22,6.28,94.25,1,93.98
1.37,6.28,94.25,1,93.98
2.47,6.28,94.25,1,93.98
3.44,6.28,94.25,1,93.98
4.46,6.27,94.25,1,93.98
5.50,6.27,94.25,1,93.98
6.62,6.27,94.25,1,93.98
7.64,6.26,94.25,1,93.98
8.75,6.25,115.19,1,93.98
9.81,6.24,126.16,1,93.98
10.94,6.24,141.62,1,93.98
12.03,6.23,157.20,1,93.98
13.30,6.22,173.69,1,93.98
14.42,6.21,189.30,1,93.98
15.80,6.20,205.58,1,93.98
17.01,6.19,220.50,1,93.98
18.47,6.18,237.27,1,93.98
19.91,6.17,250.21,1,93.98
21.45,6.16,266.71,1,93.98
23.18,6.15,281.82,1,93.98
24.89,6.14,301.66,1,93.98
26.74,6.13,325.26,1,93.98
28.75,6.12,351.42,1,93.98
30.84,6.12,380.51,1,93.97
33.06,6.11,413.37,1,93.97
35.42,6.11,450.07,1,93.97
37.91,6.10,493.68,1,93.97
40.52,6.10,551.11,1,93.97
43.26,6.10,625.43,1,93.97
46.10,6.11,723.00,1,93.97
46.65,6.11,445.60,2,93.97
46.62,6.12,444.48,2,93.97
47.03,6.13,353.50,2,93.97
48.47,6.14,362.96,2,93.96
49.92,6.15,374.08,2,93.96
51.41,6.16,385.92,2,93.96
52.94,6.17,397.91,2,93.96
54.50,6.19,410.07,2,93.96
56.10,6.20,422.46,2,93.96
57.73,6.21,435.06,2,93.96
59.39,6.23,447.94,2,93.96
61.08,6.24,461.07,2,93.96
62.80,6.25,474.45,2,93.95
64.56,6.26,488.10,2,93.95
66.34,6.27,502.00,2,93.95
68.16,6.28,516.20,2,93.95
70.01,0.00,530.56,2,93.95
71.89,0.01,545.05,2,93.95
73.79,0.01,559.76,2,93.94
75.71,0.01,574.65,2,93.94
77.66,0.01,589.72,2,93.94
79.63,0.01,605.02,2,93.94
81.62,0.01,620.49,2,93.94
83.63,0.01,636.05,2,93.93
85.66,0.01,651.58,2,93.93
87.70,0.01,667.18,2,93.93
89.75,0.01,682.89,2,93.93
91.81,0.01,698.67,2,93.92
92.63,0.00,511.81,3,93.92
92.55,0.00,507.93,3,93.92
92.84,0.00,510.90,3,93.92
94.15,-0.00,516.61,3,93.92
95.46,-0.00,523.77,3,93.92
96.78,-0.00,531.31,3,93.92
