Speed,Yaw,RPM,Gear,Fuel
0.00,0.00,217.30,0,14.89
0.00,0.00,332.48,0,14.89
0.00,0.00,484.31,0,14.89
0.00,0.00,679.77,0,14.89
0.00,0.00,888.58,0,14.88
0.00,0.00,942.48,0,14.88
0.00,0.00,942.48,0,14.88
0.00,0.00,942.48,0,14.88
0.00,0.00,942.48,0,14.87
0.00,0.00,942.48,0,14.87
0.00,0.00,942.48,0,14.87
0.00,0.00,942.48,0,14.87
0.00,0.00,942.48,0,14.87
0.00,0.00,942.48,0,14.86
0.00,0.00,942.48,0,14.86
0.00,0.00,942.48,0,14.86
0.11,0.00,159.49,1,14.86
0.10,-0.00,167.62,1,14.86
0.10,-0.00,175.91,1,14.86
0.10,-0.00,184.37,1,14.86
1.80,-0.00,157.08,1,14.86
3.47,-0.00,157.08,1,14.86
5.23,-0.00,157.08,1,14.86
6.87,-0.00,157.08,1,14.85
8.59,-0.00,255.37,1,14.85
10.50,-0.01,157.08,1,14.85
12.29,-0.01,180.19,1,14.85
14.34,-0.01,208.13,1,14.85
16.48,-0.01,241.73,1,14.85
18.92,-0.01,283.17,1,14.85
21.49,-0.02,344.69,1,14.85
24.44,-0.02,448.36,1,14.85
27.67,-0.02,627.66,1,14.85
30.23,-0.02,432.79,1,14.85
32.71,-0.02,747.81,1,14.84
34.82,-0.02,494.22,1,14.84
37.08,-0.02,845.81,1,14.84
38.89,-0.02,536.38,1,14.84
41.02,-0.02,920.54,1,14.84
42.80,-0.02,588.42,1,14.84
44.93,-0.02,856.43,1,14.83
47.00,-0.02,658.09,1,14.83
49.52,-0.02,954.62,1,14.83
52.17,-0.01,791.58,1,14.83
55.01,-0.01,915.28,1,14.82
57.89,-0.01,934.65,1,14.82
60.64,-0.01,846.45,1,14.82
63.01,-0.01,846.44,1,14.82
63.12,-0.00,520.33,2,14.82
63.08,-0.00,525.65,2,14.82
63.05,-0.00,530.93,2,14.82
64.46,-0.00,534.93,2,14.81
67.01,-0.00,549.75,2,14.81
69.57,-0.00,565.17,2,14.81
72.13,-0.00,588.37,2,14.81
74.71,-0.00,613.63,2,14.80
77.32,-0.00,637.92,2,14.80
79.97,-0.00,660.87,2,14.80
82.63,-0.00,682.66,2,14.79
85.31,-0.00,702.32,2,14.79
87.98,-0.00,728.65,2,14.78
90.64,-0.00,742.49,2,14.78
93.18,-0.00,777.58,2,14.78
95.75,-0.00,775.75,2,14.77
98.34,-0.00,808.64,2,14.77
100.93,-0.00,818.11,2,14.76
103.51,-0.00,848.37,2,14.76
106.05,-0.00,856.73,2,14.75
108.57,-0.01,886.55,2,14.75
111.02,-0.01,892.29,2,14.75
112.80,-0.01,651.39,3,14.74
112.71,-0.01,651.40,3,14.74
112.61,-0.01,651.40,3,14.74
112.52,-0.01,618.82,3,14.74
114.29,-0.01,655.36,3,14.74
116.17,-0.01,664.23,3,14.74
118.04,-0.00,675.83,3,14.73
119.93,-0.01,687.12,3,14.73
121.82,-0.01,698.35,3,14.72
123.73,-0.01,709.37,3,14.72
125.64,-0.01,720.33,3,14.72
127.56,-0.01,731.36,3,14.71
129.48,-0.01,742.50,3,14.71
131.40,-0.01,752.88,3,14.70
133.30,-0.01,763.37,3,14.70
135.20,-0.01,773.93,3,14.70
137.08,-0.01,784.44,3,14.69
138.96,-0.01,794.35,3,14.69
140.82,-0.01,804.97,3,14.68
142.67,-0.01,815.50,3,14.68
144.51,-0.01,825.77,3,14.67
146.34,-0.01,835.90,3,14.67
148.17,-0.01,844.35,3,14.66
149.98,-0.01,854.96,3,14.66
151.77,-0.01,865.70,3,14.66
153.55,-0.01,875.82,3,14.65
154.83,-0.01,679.86,4,14.65
154.63,-0.01,678.59,4,14.65
154.43,-0.01,677.37,4,14.65
154.24,-0.01,657.76,4,14.65
155.50,-0.01,681.73,4,14.64
156.86,-0.01,686.65,4,14.64
158.21,-0.01,690.99,4,14.64
159.55,-0.01,698.15,4,14.63
160.89,-0.01,705.10,4,14.63
162.24,-0.01,711.20,4,14.62
163.60,-0.01,716.91,4,14.62
164.95,-0.01,720.72,4,14.62
166.29,-0.01,727.95,4,14.61
167.63,-0.01,734.66,4,14.61
168.98,-0.01,740.45,4,14.60
170.32,-0.01,747.10,4,14.60
171.66,-0.01,751.99,4,14.60
172.99,-0.01,757.16,4,14.59
174.31,-0.01,762.75,4,14.59
175.62,-0.01,768.50,4,14.58
176.91,-0.01,780.95,4,14.58
178.24,-0.01,782.84,4,14.57
179.56,-0.01,785.53,4,14.57
180.86,-0.01,790.35,4,14.57
182.16,-0.01,796.15,4,14.56
183.43,-0.01,806.97,4,14.56
184.73,-0.01,809.94,4,14.55
186.02,-0.01,813.27,4,14.55
187.30,-0.01,818.12,4,14.54
188.58,-0.01,823.73,4,14.54
189.83,-0.01,832.52,4,14.53
191.10,-0.01,836.13,4,14.53
192.36,-0.01,840.25,4,14.53
193.62,-0.01,845.30,4,14.52
194.86,-0.01,850.75,4,14.52
196.09,-0.01,857.63,4,14.51
197.33,-0.01,861.92,4,14.51
198.56,-0.01,866.61,4,14.50
198.88,-0.00,692.65,5,14.50
198.57,-0.00,690.79,5,14.50
198.26,-0.00,689.02,5,14.50
198.29,-0.00,691.52,5,14.50
199.23,0.00,693.85,5,14.50
200.17,0.00,696.92,5,14.49
201.05,0.01,699.86,5,14.49
201.89,0.01,703.15,5,14.48
202.74,0.01,706.29,5,14.48
203.58,0.01,709.25,5,14.48
204.42,0.02,712.15,5,14.47
205.26,0.02,714.29,5,14.47
206.09,0.03,717.70,5,14.47
206.92,0.03,720.93,5,14.46
207.75,0.04,723.91,5,14.46
208.59,0.04,725.03,5,14.46
209.40,0.05,728.52,5,14.45
210.21,0.06,732.16,5,14.45
211.02,0.06,735.42,5,14.44
211.82,0.07,738.31,5,14.44
212.63,0.08,738.86,5,14.44
213.40,0.09,742.55,5,14.43
214.18,0.10,746.22,5,14.43
214.95,0.11,749.34,5,14.43
215.70,0.12,752.15,5,14.42
216.45,0.13,752.24,5,14.42
217.18,0.14,756.11,5,14.41
217.91,0.15,759.64,5,14.41
218.62,0.16,762.50,5,14.41
219.33,0.16,763.23,5,14.40
220.01,0.15,766.70,5,14.40
220.69,0.14,770.31,5,14.39
221.36,0.13,773.46,5,14.39
222.02,0.12,776.12,5,14.39
222.66,0.11,778.51,5,14.38
223.28,0.10,780.76,5,14.38
223.87,0.09,782.92,5,14.37
223.30,0.08,736.49,5,14.37
220.89,0.07,726.14,5,14.37
218.02,0.06,747.64,5,14.37
213.75,0.05,705.73,5,14.37
211.27,0.06,688.72,5,14.37
208.38,0.06,715.33,5,14.37
204.41,0.05,673.93,5,14.37
202.00,0.05,658.16,5,14.37
198.35,0.04,678.03,5,14.37
195.42,0.03,641.72,5,14.37
192.10,0.02,632.26,5,14.37
189.60,0.01,651.02,5,14.37
186.34,0.00,637.37,5,14.37
183.58,-0.01,604.78,5,14.37
180.33,-0.02,735.62,4,14.37
177.62,-0.03,716.35,4,14.37
175.61,-0.04,705.81,4,14.37
173.36,-0.05,742.22,4,14.37
171.42,-0.05,733.97,4,14.37
168.37,-0.06,718.12,4,14.37
167.17,-0.06,683.15,4,14.37
165.30,-0.06,676.29,4,14.37
163.16,-0.07,698.57,4,14.37
161.37,-0.08,690.81,4,14.36
159.59,-0.08,683.18,4,14.36
157.83,-0.08,675.69,4,14.36
156.09,-0.09,668.25,4,14.36
154.35,-0.09,660.89,4,14.36
152.14,-0.09,629.29,4,14.36
151.36,-0.09,650.81,4,14.36
149.26,-0.09,617.51,4,14.36
148.45,-0.09,638.61,4,14.36
146.74,-0.09,628.79,4,14.36
145.15,-0.08,619.48,4,14.36
143.41,-0.08,612.17,4,14.36
142.35,-0.07,578.97,4,14.36
141.50,-0.06,609.66,4,14.36
139.81,-0.06,599.63,4,14.36
138.73,-0.05,763.22,3,14.36
137.79,-0.05,758.55,3,14.36
136.13,-0.05,746.32,3,14.36
134.44,-0.04,738.86,3,14.36
134.42,-0.04,752.10,3,14.36
131.91,-0.03,725.01,3,14.36
131.85,-0.01,738.88,3,14.36
130.30,0.01,720.56,3,14.36
128.73,0.02,712.85,3,14.36
127.26,0.05,699.73,3,14.36
127.32,0.07,713.64,3,14.36
125.79,0.10,696.15,3,14.36
124.35,0.12,683.78,3,14.36
123.44,0.15,646.21,3,14.35
122.81,0.17,684.01,3,14.35
120.93,0.20,642.23,3,14.35
120.37,0.22,670.36,3,14.35
119.07,0.25,654.74,3,14.35
118.17,0.27,622.56,3,14.35
117.64,0.29,654.23,3,14.35
116.38,0.31,640.05,3,14.35
116.51,0.34,651.01,3,14.35
115.09,0.34,636.42,3,14.35
114.36,0.32,607.93,3,14.35
112.80,0.29,623.71,3,14.35
113.16,0.28,633.50,3,14.35
111.77,0.25,617.65,3,14.35
110.43,0.23,607.71,3,14.35
109.56,0.21,581.52,3,14.35
109.12,0.19,605.93,3,14.35
107.86,0.17,593.57,3,14.35
106.43,0.15,585.68,3,14.35
106.56,0.14,595.54,3,14.35
105.16,0.12,581.60,3,14.35
103.83,0.11,571.51,3,14.35
103.95,0.10,580.93,3,14.35
102.56,0.08,567.43,3,14.34
102.89,0.07,577.92,3,14.34
101.53,0.06,561.66,3,14.34
100.83,0.05,532.27,3,14.34
100.40,0.04,555.67,3,14.34
99.18,0.03,546.47,3,14.34
99.33,0.02,549.99,3,14.34
98.28,0.01,538.10,3,14.34
98.28,0.00,553.69,3,14.34
99.00,-0.00,559.85,3,14.34
100.21,-0.01,597.51,3,14.34
101.74,-0.01,589.00,3,14.33
102.09,-0.02,543.19,3,14.33
101.50,-0.03,565.26,3,14.33
102.02,-0.03,576.82,3,14.33
103.12,-0.04,596.13,3,14.33
104.65,-0.04,604.60,3,14.33
106.18,-0.05,615.52,3,14.32
107.75,-0.06,621.35,3,14.32
109.29,-0.07,634.99,3,14.32
110.85,-0.08,641.60,3,14.31
112.42,-0.07,647.67,3,14.31
113.94,-0.06,661.16,3,14.31
115.52,-0.06,662.30,3,14.30
117.05,-0.05,677.01,3,14.30
118.63,-0.05,681.03,3,14.30
120.17,-0.05,695.75,3,14.29
118.75,-0.05,656.06,3,14.29
119.05,-0.04,668.48,3,14.29
120.04,-0.04,685.18,3,14.29
121.66,-0.03,700.42,3,14.29
123.37,-0.03,711.88,3,14.28
125.10,-0.04,721.09,3,14.28
126.83,-0.04,733.30,3,14.27
128.56,-0.04,743.69,3,14.27
130.26,-0.04,755.44,3,14.27
131.96,-0.04,764.68,3,14.26
133.63,-0.04,776.67,3,14.26
135.28,-0.05,790.79,3,14.25
136.96,-0.05,795.34,3,14.25
138.58,-0.06,808.68,3,14.24
140.20,-0.06,825.44,3,14.24
141.84,-0.07,824.15,3,14.24
143.40,-0.08,836.00,3,14.23
144.97,-0.08,859.19,3,14.23
146.55,-0.08,851.13,3,14.22
148.11,-0.07,864.13,3,14.22
149.71,-0.05,869.18,3,14.21
151.32,-0.04,876.62,3,14.21
152.95,-6.31,884.34,3,14.20
154.59,-6.31,891.86,3,14.20
154.48,-6.30,686.04,4,14.20
154.20,-6.30,684.48,4,14.20
153.93,-6.30,683.00,4,14.20
154.62,-6.29,680.64,4,14.20
155.94,-6.30,683.78,4,14.19
157.27,-6.30,688.82,4,14.19
158.60,-6.31,694.71,4,14.18
159.92,-6.31,700.79,4,14.18
161.25,-6.32,706.83,4,14.18
162.57,-6.32,712.81,4,14.17
163.88,-6.32,718.86,4,14.17
165.20,-6.32,724.72,4,14.16
166.51,-6.32,730.38,4,14.16
167.83,-6.33,735.83,4,14.16
169.15,-6.33,741.21,4,14.15
170.47,-6.34,746.69,4,14.15
171.78,-6.35,751.88,4,14.14
173.10,-6.34,758.03,4,14.14
174.40,-6.33,764.81,4,14.14
175.71,-6.32,770.76,4,14.13
177.02,-6.32,775.42,4,14.13
178.32,-6.31,780.80,4,14.12
179.62,-6.30,786.34,4,14.12
180.91,-6.30,791.90,4,14.11
182.19,-6.29,797.44,4,14.11
183.47,-6.29,802.90,4,14.11
184.75,-6.28,808.29,4,14.10
186.01,-6.28,813.62,4,14.10
187.27,-6.27,818.68,4,14.09
188.52,-6.27,824.03,4,14.09
189.76,-6.27,829.38,4,14.08
190.99,-6.27,834.71,4,14.08
192.20,-6.27,840.01,4,14.07
193.40,-6.27,845.25,4,14.07
194.59,-6.27,850.47,4,14.06
195.76,-6.28,855.66,4,14.06
196.92,-6.28,860.80,4,14.06
198.05,-6.29,865.91,4,14.05
199.18,-6.29,870.98,4,14.05
198.89,-6.30,694.09,5,14.05
198.45,-6.31,692.16,5,14.05
195.55,-6.31,673.58,5,14.05
193.05,-6.32,662.05,5,14.05
188.67,-0.05,623.98,5,14.04
185.78,-0.06,635.49,5,14.04
182.97,-0.08,744.95,4,14.04
178.98,-0.09,714.89,4,14.04
176.77,-0.09,703.39,4,14.04
172.62,-0.08,710.84,4,14.04
170.20,-0.08,729.34,4,14.04
166.24,-0.08,682.50,4,14.04
164.09,-0.08,662.72,4,14.04
160.55,-0.08,684.87,4,14.04
157.20,-0.08,670.42,4,14.04
154.51,-0.09,629.39,4,14.04
151.22,-0.09,645.12,4,14.04
149.15,-0.09,640.53,4,14.04
146.08,-0.09,623.46,4,14.04
143.49,-0.09,584.81,4,14.04
141.04,-0.08,601.97,4,14.04
139.20,-0.08,594.31,4,14.04
138.78,-0.08,763.45,3,14.04
138.47,-0.07,758.31,3,14.04
138.22,-0.05,753.39,3,14.04
139.17,-0.03,804.11,3,14.04
140.99,-0.02,809.16,3,14.03
142.79,0.01,815.53,3,14.03
144.59,0.03,820.11,3,14.02
146.34,0.05,836.71,3,14.02
148.10,0.07,846.12,3,14.01
149.84,0.10,856.48,3,14.01
151.56,0.12,866.71,3,14.00
153.27,0.14,876.33,3,14.00
154.48,0.17,679.49,4,14.00
154.23,0.20,678.23,4,14.00
153.99,0.23,677.04,4,14.00
153.76,0.22,655.73,4,14.00
154.99,0.20,677.06,4,13.99
156.29,0.19,682.12,4,13.99
156.07,0.18,649.50,4,13.99
152.64,0.17,650.99,4,13.99
149.89,0.17,619.63,4,13.99
146.73,0.16,605.69,4,13.99
143.62,0.16,592.84,4,13.99
141.93,0.16,583.32,4,13.99
138.90,0.15,570.11,4,13.98
135.81,0.14,716.65,3,13.98
133.41,0.14,696.63,3,13.98
130.54,0.13,678.04,3,13.98
128.06,0.13,679.61,3,13.98
125.07,0.13,687.62,3,13.98
121.43,0.13,638.66,3,13.98
119.81,0.13,624.80,3,13.98
116.34,0.13,615.31,3,13.98
112.86,0.12,590.73,3,13.98
110.04,0.12,577.15,3,13.98
108.50,0.11,565.61,3,13.98
105.15,0.10,556.19,3,13.98
102.60,0.08,531.74,3,13.98
99.30,0.06,526.46,3,13.98
96.63,0.03,720.44,2,13.98
94.15,-0.01,700.46,2,13.98
