Frame,Happy,Engaged,Glasses,Left Eye,Right Eye,Looking Away,Mouth Move,Mouth Open,Yaw,Pitch,Roll
0,0,1,0,0,0,0,1,0,-5,-15,15
1,0,1,0,0,0,0,1,0,-10,-15,15
2,0,1,0,0,0,0,1,0,-5,-15,15
3,0,1,0,0,0,0,1,0,0,-20,15
4,0,1,0,0,0,0,0,0,-10,-15,15
5,0,0,1,1,0,1,1,0,0,-20,15
6,0,1,1,1,0,0,1,0,-10,-20,10
7,0,0,1,1,0,0,1,0,-15,-20,10
8,0,0,0,0,0,0,1,1,-25,-20,10
9,-1,0,-1,-1,-1,-1,-1,1,-40,-25,10
10,-1,0,-1,-1,-1,-1,-1,1,-45,-25,10
11,-1,0,-1,-1,-1,-1,-1,1,-40,-45,15
12,-1,0,-1,-1,-1,-1,-1,1,-45,-40,15
13,-1,0,-1,-1,-1,-1,-1,1,-45,-25,5
14,-1,0,-1,-1,-1,-1,-1,1,-40,-25,5
15,-1,0,-1,-1,-1,-1,-1,1,-40,-25,0
16,-1,0,-1,-1,-1,-1,-1,1,-35,-20,5
17,-1,0,-1,-1,-1,-1,-1,1,-35,-20,5
18,0,0,1,0,0,0,1,1,-30,-15,0
19,0,0,1,0,0,0,1,1,-30,-15,0
20,0,0,0,0,0,0,1,0,-25,-15,0
21,0,0,0,0,0,0,1,1,-25,-10,0
22,0,1,0,0,0,0,1,0,-20,-10,0
23,0,1,0,0,0,0,1,0,-15,-5,-5
24,0,1,1,0,0,0,1,0,-15,0,-5
25,0,1,1,0,0,1,1,0,-15,-5,0
26,0,1,1,0,0,0,1,0,-15,0,-5
27,0,1,0,0,0,0,0,0,-15,-5,-5
28,0,1,0,0,0,0,0,0,-20,-5,-5
29,0,1,0,0,0,0,0,0,-20,-5,-5
30,0,1,0,0,0,0,0,0,-20,-5,-5
31,0,1,0,0,0,0,0,0,-15,-5,-5
32,0,1,0,0,0,0,0,0,-15,-5,-5
33,0,0,0,0,0,0,0,0,-25,-5,-5
34,0,0,0,0,0,0,1,0,-25,-5,-5
35,0,0,0,0,0,0,1,1,-30,-5,-5
36,-1,0,-1,-1,-1,-1,-1,1,-35,-5,-10
37,-1,0,-1,-1,-1,-1,-1,1,-40,-10,0
38,-1,0,-1,-1,-1,-1,-1,1,-35,-10,5
39,-1,0,-1,-1,-1,-1,-1,1,-45,-15,5
40,-1,0,-1,-1,-1,-1,-1,1,-50,-10,5
41,-1,0,-1,-1,-1,-1,-1,1,-50,-10,5
42,-1,0,-1,-1,-1,-1,-1,1,-45,-5,0
43,-1,0,-1,-1,-1,-1,-1,1,-50,0,-5
44,-1,0,-1,-1,-1,-1,-1,1,-50,-5,0
45,-1,0,-1,-1,-1,-1,-1,1,-50,-10,0
46,-1,0,-1,-1,-1,-1,-1,1,-50,-10,5
47,0,0,0,0,0,0,0,0,-45,-15,10
48,0,0,0,0,0,0,0,0,-40,-15,5
49,0,0,0,0,0,0,0,0,-45,-15,5
50,-1,0,-1,-1,-1,-1,-1,1,-45,-10,5
51,-1,0,-1,-1,-1,-1,-1,1,-45,-5,0
52,-1,0,-1,-1,-1,-1,-1,1,-45,-10,0
53,-1,0,-1,-1,-1,-1,-1,1,-45,-10,0
54,0,0,0,0,0,0,0,0,-45,-10,5
55,-1,0,-1,-1,-1,-1,-1,1,-45,-10,5
56,0,0,0,0,0,0,0,0,-45,-10,5
57,0,0,0,0,0,0,0,0,-45,-10,5
58,-1,0,-1,-1,-1,-1,-1,1,-45,-10,0
59,-1,0,-1,-1,-1,-1,-1,1,-45,-10,5
60,-1,0,-1,-1,-1,-1,-1,1,-45,-10,0
61,-1,0,-1,-1,-1,-1,-1,1,-45,-15,5
62,-1,0,-1,-1,-1,-1,-1,1,-45,-15,5
63,-1,0,-1,-1,-1,-1,-1,1,-45,-15,5
64,-1,0,-1,-1,-1,-1,-1,1,-45,-15,5
65,0,0,0,0,0,0,0,0,-45,-15,10
66,-1,0,-1,-1,-1,-1,-1,1,-50,-15,0
67,-1,0,-1,-1,-1,-1,-1,1,-50,-15,0
68,-1,0,-1,-1,-1,-1,-1,1,-40,-10,0
69,-1,0,-1,-1,-1,-1,-1,1,-30,-10,-5
70,-1,0,-1,-1,-1,-1,-1,1,-30,-10,-5
71,0,0,0,0,0,0,1,1,-25,-10,-5
72,0,0,0,0,0,0,1,0,-25,-10,-5
73,0,0,0,1,0,0,1,0,-30,-10,-5
74,0,0,1,0,0,0,1,0,-20,-10,-10
75,0,0,1,0,0,0,1,0,-20,-10,-5
76,0,0,1,0,0,0,1,0,-20,-10,-5
77,0,1,1,0,0,0,1,0,-15,-10,-5
78,0,0,1,0,0,0,1,0,-20,-10,-5
79,0,1,0,0,0,0,1,0,-15,-10,-5
80,0,1,0,0,0,0,1,0,-10,-10,-5
81,0,1,0,0,0,0,1,0,-15,-15,-5
82,0,1,0,0,0,0,1,0,-15,-15,-5
83,0,1,0,0,0,0,1,0,-15,-15,-5
84,0,1,0,0,0,0,1,0,-15,-15,-5
85,0,1,0,0,0,0,1,0,-15,-15,-5
86,0,1,0,1,0,0,1,0,-15,-15,0
87,0,1,1,0,0,0,1,0,-10,-15,0
88,0,0,1,0,0,0,1,0,-15,-20,0
89,0,0,1,0,0,0,1,0,-10,-20,0
90,0,1,0,0,0,0,1,0,-10,-20,5
91,0,1,0,0,0,0,1,0,-10,-20,0
92,0,1,0,0,0,0,1,0,-10,-15,0
93,0,1,0,0,0,0,1,0,-5,-15,0
94,0,1,0,0,0,0,1,0,-10,-15,0
95,0,1,0,0,0,0,1,0,-10,-15,0
96,0,1,0,0,0,0,1,0,-5,-15,0
97,0,1,0,0,0,0,1,0,-10,-15,0
98,0,1,0,0,0,0,1,0,-10,-15,0
99,0,1,0,0,0,0,1,0,-5,-10,5
100,0,1,0,1,0,0,1,0,-10,-10,5
101,0,1,0,1,0,0,1,0,-10,-10,5
102,0,1,0,1,0,0,1,0,-10,-10,5
103,0,1,0,1,0,0,1,0,-10,-10,5
104,0,1,1,0,0,0,1,0,-10,-10,5
105,0,1,1,1,0,0,0,0,-10,-10,5
106,0,1,1,0,0,0,0,0,-10,-10,5
107,0,1,0,0,0,0,0,0,-5,-10,5
108,0,1,0,0,0,0,1,0,-5,-10,0
109,0,1,0,0,0,0,1,0,0,-10,5
110,0,1,0,0,0,0,1,0,0,-10,0
111,0,1,0,1,0,0,1,0,5,-15,5
112,0,1,0,0,0,0,1,0,5,-15,0
113,0,1,0,1,0,0,1,0,10,-15,0
114,0,0,0,0,0,0,1,0,10,-20,0
115,0,0,0,1,0,0,1,0,10,-20,0
116,0,0,0,1,0,0,1,0,15,-25,0
117,0,0,0,1,0,0,1,0,5,-25,0
118,0,0,0,1,1,0,1,0,10,-25,5
119,0,0,0,1,1,0,1,0,10,-25,0
120,0,0,0,1,1,0,1,0,15,-25,5
121,0,0,0,1,1,0,1,0,15,-25,0
122,0,0,0,1,1,0,1,0,15,-20,0
123,0,0,0,0,0,0,1,0,15,-25,0
124,0,0,0,0,0,0,1,0,15,-20,0
125,0,0,0,0,0,0,1,0,5,-20,-5
126,0,1,0,0,0,0,1,0,0,-20,0
127,0,1,0,0,0,0,1,0,0,-15,0
128,0,1,0,0,0,0,1,0,-5,-20,0
129,0,1,0,0,0,0,1,0,0,-15,-5
130,0,1,0,0,0,0,1,0,5,-15,-5
131,0,1,0,0,0,0,1,0,0,-10,-5
132,0,1,0,1,0,0,1,0,-5,-10,-5
133,0,0,0,1,1,0,1,0,0,-10,-5
134,0,1,0,0,0,0,0,0,5,-5,-5
135,0,1,0,0,0,0,0,0,0,-5,-5
136,0,1,0,0,0,0,0,0,-5,-5,-5
