Speed,Yaw,RPM,Gear,Fuel
0.00,0.00,230.16,0,14.89
0.00,0.00,359.58,0,14.89
0.00,0.00,523.99,0,14.89
0.00,0.00,687.51,0,14.89
0.00,0.00,837.44,0,14.89
0.00,0.00,894.52,0,14.88
0.00,0.00,894.52,0,14.88
0.00,0.00,894.52,0,14.88
0.00,0.00,894.52,0,14.88
0.00,0.00,894.52,0,14.88
0.00,0.00,894.52,0,14.88
0.00,0.00,894.52,0,14.88
0.00,0.00,894.52,0,14.87
0.00,0.00,894.52,0,14.87
0.00,0.00,894.52,0,14.87
0.00,0.00,894.52,0,14.87
0.00,0.00,894.52,1,14.87
0.83,-0.00,890.91,1,14.87
1.71,-0.00,890.45,1,14.87
2.91,-0.00,887.46,1,14.86
4.32,-0.00,889.73,1,14.86
6.19,-0.00,886.14,1,14.86
8.60,-0.00,871.28,1,14.86
11.09,-0.01,843.99,1,14.85
13.89,-0.01,817.54,1,14.85
16.62,-0.01,796.53,1,14.85
19.50,-0.01,780.08,1,14.85
22.37,-0.02,762.97,1,14.84
25.23,-0.02,729.85,1,14.84
28.13,-0.02,675.66,1,14.84
31.02,-0.02,617.25,1,14.84
33.89,-0.02,583.01,1,14.83
36.85,-0.03,557.26,1,14.83
39.71,-0.02,572.82,1,14.83
42.53,-0.02,568.58,1,14.83
45.33,-0.02,603.66,1,14.83
48.16,-0.02,601.66,1,14.83
50.99,-0.02,650.33,1,14.82
53.82,-0.02,644.35,1,14.82
56.63,-0.01,697.83,1,14.82
59.44,-0.01,689.66,1,14.82
62.23,-0.01,748.54,1,14.82
65.01,-0.01,739.36,1,14.81
67.78,-0.01,795.91,1,14.81
70.55,-0.00,791.78,1,14.81
73.30,-0.00,842.39,1,14.81
76.04,-0.00,843.52,1,14.80
78.76,-0.00,883.22,1,14.80
79.90,-0.00,582.97,2,14.80
79.85,-0.00,576.09,2,14.80
79.79,-0.00,541.27,2,14.80
82.14,-0.00,594.44,2,14.80
84.70,-0.00,603.15,2,14.79
87.20,-0.00,621.62,2,14.79
89.67,-0.00,641.03,2,14.79
92.13,-0.00,658.46,2,14.79
94.56,-0.00,674.97,2,14.78
96.95,-0.00,692.98,2,14.78
99.34,-0.00,706.01,2,14.78
101.70,-0.00,721.06,2,14.78
104.02,-0.00,736.97,2,14.77
106.31,-0.00,752.60,2,14.77
108.57,-0.00,767.73,2,14.77
110.80,-0.01,782.46,2,14.76
112.99,-0.01,799.14,2,14.76
115.16,-0.01,811.89,2,14.76
117.30,-0.01,825.47,2,14.75
118.11,-0.01,596.97,3,14.75
118.00,-0.01,589.06,3,14.75
118.39,-0.01,607.09,3,14.75
120.17,-0.01,613.51,3,14.75
121.93,-0.01,621.15,3,14.75
123.68,-0.01,630.02,3,14.74
125.42,-0.01,639.06,3,14.74
127.15,-0.01,647.80,3,14.74
128.86,-0.01,656.24,3,14.74
130.56,-0.01,664.81,3,14.73
132.24,-0.01,672.99,3,14.73
133.92,-0.01,681.18,3,14.73
135.58,-0.01,689.40,3,14.73
137.22,-0.01,697.57,3,14.72
138.85,-0.01,705.67,3,14.72
140.47,-0.01,713.52,3,14.72
142.08,-0.01,721.59,3,14.71
143.67,-0.01,729.52,3,14.71
145.25,-0.01,737.31,3,14.71
146.82,-0.01,745.02,3,14.71
148.37,-0.01,752.09,3,14.70
149.91,-0.01,760.08,3,14.70
151.43,-0.01,767.80,3,14.70
152.93,-0.01,775.21,3,14.69
154.43,-0.01,782.50,3,14.69
155.91,-0.01,788.90,3,14.69
157.37,-0.01,796.75,3,14.69
158.81,-0.01,804.23,3,14.68
160.25,-0.01,811.26,3,14.68
161.68,-0.01,816.75,3,14.68
161.57,-0.01,616.80,4,14.68
161.33,-0.01,607.74,4,14.68
161.97,-0.01,629.46,4,14.67
163.18,-0.01,633.28,4,14.67
164.38,-0.01,636.64,4,14.67
165.55,-0.01,641.93,4,14.67
166.72,-0.01,647.05,4,14.66
167.89,-0.01,651.56,4,14.66
169.05,-0.01,655.93,4,14.66
170.20,-0.01,660.39,4,14.66
171.35,-0.01,664.45,4,14.65
172.49,-0.01,668.72,4,14.65
173.62,-0.01,673.08,4,14.65
174.75,-0.01,677.38,4,14.65
175.86,-0.01,683.67,4,14.64
177.00,-0.01,686.26,4,14.64
178.12,-0.01,689.88,4,14.64
179.22,-0.01,694.16,4,14.63
180.32,-0.01,698.54,4,14.63
181.41,-0.01,704.33,4,14.63
182.51,-0.01,707.24,4,14.63
183.60,-0.01,710.84,4,14.62
184.68,-0.01,714.97,4,14.62
185.76,-0.01,719.21,4,14.62
186.82,-0.01,724.27,4,14.61
187.89,-0.01,727.51,4,14.61
188.95,-0.01,731.21,4,14.61
190.00,-0.01,735.24,4,14.61
191.03,-0.01,740.10,4,14.60
192.07,-0.01,743.68,4,14.60
193.11,-0.01,747.19,4,14.60
194.13,-0.01,750.94,4,14.59
195.14,-0.00,754.85,4,14.59
196.15,-0.00,758.95,4,14.59
197.15,-0.00,762.62,4,14.59
198.15,-0.00,766.29,4,14.58
199.13,0.00,770.01,4,14.58
200.11,0.00,773.55,4,14.58
201.08,0.01,777.30,4,14.57
202.04,0.01,781.08,4,14.57
202.99,0.01,784.75,4,14.57
203.94,0.02,788.33,4,14.56
204.88,0.02,791.30,4,14.56
205.75,0.03,794.97,4,14.56
206.58,0.03,798.40,4,14.56
207.41,0.04,801.59,4,14.55
208.23,0.04,804.69,4,14.55
209.04,0.05,806.94,4,14.55
209.84,0.05,810.57,4,14.55
209.98,0.06,673.73,5,14.54
209.62,0.07,662.71,5,14.54
209.24,0.08,670.18,5,14.54
209.87,0.09,679.94,5,14.54
210.55,0.09,682.52,5,14.54
211.24,0.10,684.97,5,14.54
211.91,0.11,687.23,5,14.53
212.58,0.12,688.05,5,14.53
213.24,0.13,690.81,5,14.53
213.88,0.15,693.54,5,14.53
214.52,0.16,695.81,5,14.52
215.14,0.16,697.69,5,14.52
215.77,0.15,699.02,5,14.52
216.38,0.14,701.60,5,14.52
216.99,0.13,704.08,5,14.51
217.59,0.12,706.23,5,14.51
218.18,0.11,708.15,5,14.51
218.76,0.10,710.01,5,14.51
219.34,0.10,711.87,5,14.50
219.91,0.09,713.69,5,14.50
220.47,0.08,715.47,5,14.50
221.02,0.07,717.19,5,14.50
221.57,0.06,718.84,5,14.49
222.12,0.05,720.46,5,14.49
222.66,0.03,722.05,5,14.49
223.18,0.02,723.61,5,14.49
223.71,0.01,725.12,5,14.48
224.22,-0.00,726.62,5,14.48
224.72,-0.01,728.16,5,14.48
225.21,-0.02,729.67,5,14.48
225.68,-0.04,731.13,5,14.47
226.14,-0.05,732.58,5,14.47
226.59,-0.06,734.01,5,14.47
227.01,-0.08,735.43,5,14.46
225.90,-0.09,710.31,5,14.46
221.04,-0.10,707.93,5,14.46
218.39,-0.10,700.66,5,14.46
213.34,-0.09,664.56,5,14.46
210.69,-0.08,653.42,5,14.46
206.01,-0.08,659.57,5,14.46
202.84,-0.08,629.69,5,14.46
198.87,-0.08,616.91,5,14.46
195.70,-0.08,628.64,5,14.46
191.52,-0.08,697.17,4,14.46
187.87,-0.08,672.68,4,14.46
185.41,-0.07,682.26,4,14.46
180.78,-0.07,665.13,4,14.46
178.23,-0.06,653.09,4,14.46
175.19,-0.05,670.26,4,14.46
171.23,-0.04,626.54,4,14.46
168.72,-0.02,615.91,4,14.46
165.76,-0.01,634.65,4,14.46
163.41,0.01,625.70,4,14.46
160.05,0.02,607.00,4,14.46
157.36,0.03,571.10,4,14.46
155.86,0.04,600.87,4,14.46
152.90,0.06,579.82,4,14.46
151.77,0.08,553.53,4,14.46
149.53,0.09,572.91,4,14.46
147.85,0.11,566.23,4,14.46
145.10,0.13,688.12,3,14.46
144.02,0.15,670.17,3,14.45
142.18,0.16,703.47,3,14.45
139.66,0.18,674.04,3,14.45
138.11,0.20,668.26,3,14.45
136.18,0.21,674.10,3,14.45
134.69,0.23,666.85,3,14.45
133.71,0.25,648.94,3,14.45
132.25,0.27,641.41,3,14.45
130.48,0.29,648.50,3,14.45
129.65,0.32,626.63,3,14.45
127.86,0.31,635.64,3,14.45
126.43,0.29,625.95,3,14.45
124.92,0.27,618.56,3,14.45
123.43,0.25,611.17,3,14.45
122.44,0.23,593.06,3,14.45
121.01,0.21,584.85,3,14.45
119.32,0.19,593.48,3,14.45
118.54,0.17,574.26,3,14.45
116.91,0.15,581.47,3,14.45
115.63,0.13,572.88,3,14.45
114.73,0.11,556.69,3,14.45
113.38,0.09,550.13,3,14.45
112.04,0.08,542.74,3,14.45
110.74,0.06,536.47,3,14.45
110.30,0.05,551.13,3,14.45
109.00,0.04,542.73,3,14.45
108.34,0.03,524.94,3,14.45
107.85,0.02,538.74,3,14.45
106.72,0.01,528.24,3,14.45
106.78,0.00,534.60,3,14.45
107.42,-0.00,547.63,3,14.45
108.66,-0.01,562.25,3,14.44
110.16,-0.02,569.50,3,14.44
111.65,-0.03,575.15,3,14.44
113.10,-0.04,582.37,3,14.44
114.56,-0.04,588.52,3,14.43
115.98,-0.05,598.77,3,14.43
117.43,-0.05,604.94,3,14.43
118.85,-0.06,613.82,3,14.43
120.28,-0.06,621.03,3,14.43
121.70,-0.07,627.91,3,14.42
123.14,-0.06,631.53,3,14.42
124.55,-0.05,639.60,3,14.42
126.00,-0.05,641.90,3,14.42
127.42,-0.05,650.84,3,14.41
128.86,-0.05,655.55,3,14.41
130.27,-0.05,662.59,3,14.41
131.67,-0.05,670.60,3,14.41
133.05,-0.05,676.90,3,14.40
134.39,-0.05,685.62,3,14.40
135.73,-0.05,691.84,3,14.40
137.03,-0.05,699.72,3,14.40
138.32,-0.04,706.42,3,14.39
139.59,-0.04,713.33,3,14.39
140.85,-0.04,719.99,3,14.39
142.11,-0.04,726.63,3,14.39
143.36,-0.04,733.61,3,14.38
144.62,-0.05,738.68,3,14.38
145.86,-0.05,746.16,3,14.38
147.11,-0.06,751.82,3,14.38
148.35,-0.06,757.55,3,14.37
149.57,-0.07,766.16,3,14.37
150.84,-0.08,768.56,3,14.37
152.06,-0.08,776.63,3,14.36
153.26,-0.09,786.41,3,14.36
154.52,-0.09,787.05,3,14.36
155.77,-0.08,794.29,3,14.36
157.12,-0.07,798.98,3,14.35
158.48,-0.06,804.76,3,14.35
159.84,-0.05,811.09,3,14.35
161.19,-6.33,817.56,3,14.34
161.59,-6.32,622.22,4,14.34
161.31,-6.32,612.86,4,14.34
161.41,-6.32,628.54,4,14.34
162.58,-6.31,631.81,4,14.34
163.75,-6.31,635.82,4,14.34
164.90,-6.31,640.30,4,14.33
166.04,-6.31,644.83,4,14.33
167.18,-6.31,649.21,4,14.33
168.32,-6.31,653.44,4,14.33
169.45,-6.31,657.61,4,14.32
170.58,-6.32,661.77,4,14.32
171.70,-6.32,665.93,4,14.32
172.82,-6.33,670.07,4,14.32
173.94,-6.34,674.34,4,14.31
175.05,-6.35,678.44,4,14.31
176.15,-6.36,682.50,4,14.31
177.24,-6.35,686.94,4,14.30
178.33,-6.34,691.67,4,14.30
179.41,-6.33,695.98,4,14.30
180.50,-6.32,699.66,4,14.30
181.57,-6.31,703.68,4,14.29
182.65,-6.30,707.74,4,14.29
183.72,-6.30,711.80,4,14.29
184.78,-6.29,715.83,4,14.29
185.83,-6.28,719.83,4,14.28
186.88,-6.28,723.77,4,14.28
187.92,-6.28,727.70,4,14.28
188.96,-6.27,731.57,4,14.27
189.98,-6.27,735.37,4,14.27
190.99,-6.27,739.22,4,14.27
192.00,-6.27,743.04,4,14.27
192.99,-6.27,746.84,4,14.26
193.97,-6.27,750.59,4,14.26
194.94,-6.27,754.31,4,14.26
195.90,-6.27,758.00,4,14.25
196.84,-6.28,761.65,4,14.25
197.77,-6.28,765.27,4,14.25
198.69,-6.29,768.85,4,14.24
199.59,-6.29,772.37,4,14.24
200.48,-6.30,775.84,4,14.24
201.35,-6.31,779.27,4,14.24
202.20,-6.32,782.66,4,14.23
203.04,-0.05,785.97,4,14.23
203.85,-0.06,789.24,4,14.23
204.64,-0.07,792.43,4,14.22
205.41,-0.07,795.60,4,14.22
206.15,-0.07,798.25,4,14.22
203.13,-0.06,759.41,4,14.22
198.76,-0.05,737.77,4,14.22
195.68,-0.06,747.36,4,14.22
190.52,-0.07,704.16,4,14.22
188.01,-0.07,692.91,4,14.22
182.71,-0.06,675.33,4,14.21
180.28,-0.06,665.30,4,14.21
175.19,-0.05,648.41,4,14.21
171.37,-0.05,633.28,4,14.21
167.17,-0.05,636.85,4,14.21
166.62,-0.06,642.14,4,14.21
166.68,-0.06,648.48,4,14.21
167.41,-0.05,654.97,4,14.21
168.42,-0.03,655.81,4,14.21
169.43,-0.01,658.88,4,14.20
170.45,0.01,662.78,4,14.20
171.50,0.03,666.37,4,14.20
172.59,0.05,669.79,4,14.20
173.69,0.09,673.50,4,14.19
174.79,0.13,677.44,4,14.19
175.88,0.17,681.39,4,14.19
176.97,0.21,685.45,4,14.18
172.28,0.25,644.37,4,14.18
170.31,0.23,636.51,4,14.18
166.78,0.21,623.86,4,14.18
163.32,0.20,611.55,4,14.18
161.04,0.18,613.97,4,14.18
157.72,0.17,601.32,4,14.18
155.91,0.16,594.45,4,14.18
152.69,0.15,582.16,4,14.18
149.51,0.15,570.08,4,14.18
145.46,0.14,701.65,3,14.18
143.46,0.14,681.42,3,14.18
140.60,0.13,696.61,3,14.18
136.61,0.13,659.83,3,14.18
134.61,0.13,668.97,3,14.18
130.77,0.13,631.17,3,14.18
128.84,0.13,640.57,3,14.18
125.13,0.12,604.26,3,14.18
122.31,0.11,588.71,3,14.18
119.26,0.11,590.61,3,14.18
115.66,0.10,557.79,3,14.18
112.99,0.09,544.25,3,14.18
110.16,0.08,545.85,3,14.18
107.60,0.05,533.37,3,14.18
104.22,0.03,504.35,3,14.18
100.79,-0.01,661.60,2,14.18
98.54,-0.04,636.37,2,14.18
95.20,-0.08,625.66,2,14.18
92.64,-0.11,609.13,2,14.17
89.92,-0.16,608.94,2,14.17
90.16,-0.12,620.58,2,14.17
91.31,-0.10,638.27,2,14.17
93.32,-0.07,667.42,2,14.17
95.69,-0.05,680.81,2,14.17
97.99,-0.03,700.32,2,14.16
100.28,-0.01,716.00,2,14.16
102.54,-6.27,733.03,2,14.16
104.77,-6.25,746.98,2,14.16
106.96,-6.24,764.80,2,14.15
109.15,-6.22,775.78,2,14.15
111.26,-6.20,798.13,2,14.15
113.41,-6.20,804.52,2,14.14
115.45,-6.23,826.55,2,14.14
117.51,-6.25,840.15,2,14.14
118.30,-6.27,606.52,3,14.14
118.13,-6.29,598.06,3,14.14
118.46,-6.31,610.67,3,14.14
120.23,-6.33,614.37,3,14.13
121.97,-6.35,621.33,3,14.13
123.70,-6.38,629.58,3,14.13
125.41,-6.40,638.15,3,14.13
127.11,-6.42,645.94,3,14.12
128.78,-6.44,654.41,3,14.12
130.44,-6.46,662.48,3,14.12
132.08,-6.48,670.11,3,14.12
133.70,-6.48,678.78,3,14.11
135.30,-6.47,688.15,3,14.11
136.89,-6.47,696.72,3,14.11
138.47,-6.46,705.66,3,14.10
140.05,-6.45,713.44,3,14.10
141.62,-6.45,721.22,3,14.10
143.19,-6.44,728.88,3,14.10
144.75,-6.44,736.40,3,14.09
146.30,-6.44,743.54,3,14.09
147.85,-6.44,750.40,3,14.09
149.37,-6.45,758.00,3,14.08
150.89,-6.45,764.27,3,14.08
152.38,-6.44,769.92,3,14.08
153.84,-6.42,778.66,3,14.08
155.28,-6.40,785.22,3,14.07
156.69,-6.38,791.83,3,14.07
158.08,-6.37,798.46,3,14.07
159.42,-6.35,807.31,3,14.06
160.76,-6.34,813.44,3,14.06
161.64,-6.33,623.35,4,14.06
161.26,-6.32,613.92,4,14.06
160.85,-6.32,613.42,4,14.06
161.76,-6.31,630.32,4,14.06
162.79,-6.31,632.23,4,14.05
163.77,-6.30,636.67,4,14.05
159.68,-6.28,598.74,4,14.05
155.91,-6.28,594.26,4,14.05
152.32,-6.31,579.23,4,14.05
149.96,-0.06,571.15,4,14.05
148.49,-0.07,544.65,4,14.05
147.32,-0.07,566.73,4,14.05
146.39,-0.05,542.24,4,14.05
145.28,-0.04,699.98,3,14.05
144.77,-0.04,686.58,3,14.05
145.13,-0.04,739.49,3,14.05
143.31,-0.04,711.80,3,14.05
143.31,-0.03,719.85,3,14.04
143.98,-0.03,731.00,3,14.04
145.22,-0.03,741.38,3,14.04
146.59,-0.02,749.27,3,14.04
147.97,-0.01,751.62,3,14.03
149.31,-0.00,757.81,3,14.03
150.59,-0.00,767.85,3,14.03
151.85,0.00,778.34,3,14.03
153.12,0.01,784.05,3,14.02
154.39,0.01,786.48,3,14.02
155.63,0.02,794.53,3,14.02
156.88,0.02,802.51,3,14.01
158.14,0.03,808.81,3,14.01
159.45,0.05,811.03,3,14.01
160.74,0.06,817.68,3,14.00
161.66,0.08,628.82,4,14.00
161.35,0.08,619.08,4,14.00
161.05,0.07,614.15,4,14.00
162.13,0.07,629.77,4,14.00
163.29,0.06,633.50,4,14.00
164.45,0.06,638.02,4,13.99
165.59,0.06,642.71,4,13.99
166.73,0.06,647.29,4,13.99
167.87,0.06,651.74,4,13.99
169.00,0.06,655.99,4,13.98
170.12,0.06,660.21,4,13.98
171.25,0.06,664.46,4,13.98
172.37,0.07,668.72,4,13.98
173.48,0.08,672.95,4,13.97
174.60,0.09,676.95,4,13.97
175.70,0.10,681.12,4,13.97
176.79,0.11,685.22,4,13.96
177.88,0.10,689.64,4,13.96
178.95,0.10,694.25,4,13.96
180.02,0.09,698.50,4,13.96
181.08,0.09,702.53,4,13.95
182.12,0.08,706.53,4,13.95
183.15,0.08,710.72,4,13.95
184.16,0.08,715.01,4,13.95
185.16,0.08,718.99,4,13.94
180.70,0.07,674.41,4,13.94
176.91,0.07,654.16,4,13.94
174.13,0.09,663.31,4,13.94
170.88,0.10,630.81,4,13.94
167.31,0.11,617.96,4,13.94
163.41,0.10,622.78,4,13.94
160.60,0.11,596.03,4,13.94
156.87,0.11,597.98,4,13.94
153.53,0.11,585.27,4,13.94
150.25,0.12,572.79,4,13.94
147.60,0.13,547.46,4,13.94
144.52,0.12,696.55,3,13.94
140.51,0.12,663.04,3,13.94
136.46,0.11,654.19,3,13.94
134.70,0.12,646.24,3,13.94
130.53,0.11,627.47,3,13.94
127.30,0.10,630.01,3,13.94
124.77,0.09,602.03,3,13.94
121.73,0.07,602.77,3,13.94
120.19,0.05,595.55,3,13.94
120.30,0.02,600.14,3,13.93
118.84,-0.03,590.72,3,13.93
119.19,-6.31,596.07,3,13.93
120.16,-6.31,610.43,3,13.93
121.69,-6.30,624.24,3,13.93
121.97,-6.30,589.90,3,13.93
121.31,-6.29,606.13,3,13.93
121.70,-6.27,618.86,3,13.93
122.73,-6.25,635.29,3,13.92
124.22,-6.24,646.06,3,13.92
125.76,-6.24,653.19,3,13.92
124.32,-6.24,618.29,3,13.92
124.52,-6.24,628.10,3,13.92
125.38,-6.23,642.12,3,13.92
126.88,-6.23,653.68,3,13.91
128.51,-6.24,659.48,3,13.91
127.07,-6.25,631.66,3,13.91
127.35,-6.25,638.93,3,13.91
128.27,-6.25,652.73,3,13.91
129.68,-6.26,665.93,3,13.91
131.19,-6.27,669.18,3,13.90
132.65,-6.29,677.80,3,13.90
134.11,-6.30,684.66,3,13.90
135.53,-6.32,691.32,3,13.90
136.94,-6.33,697.65,3,13.89
138.35,-6.34,703.19,3,13.89
139.73,-6.36,710.87,3,13.89
141.12,-6.38,716.56,3,13.89
142.51,-6.41,722.10,3,13.88
143.88,-6.43,729.57,3,13.88
145.24,-6.47,735.12,3,13.88
146.59,-6.50,740.79,3,13.88
147.92,-6.52,748.24,3,13.87
149.20,-6.50,761.70,3,13.87
150.50,-6.49,769.59,3,13.87
151.82,-6.47,773.98,3,13.86
152.96,-6.46,807.31,3,13.86
154.23,-6.44,799.21,3,13.86
155.55,-6.42,795.39,3,13.86
156.84,-6.41,803.97,3,13.85
158.14,-6.40,810.54,3,13.85
159.48,-6.38,811.72,3,13.85
160.82,-6.38,815.77,3,13.85
161.79,-6.37,625.64,4,13.84
161.64,-6.37,616.93,4,13.84
161.47,-6.37,608.67,4,13.84
162.10,-6.38,627.70,4,13.84
163.22,-6.38,633.15,4,13.84
164.33,-6.38,638.71,4,13.84
165.46,-6.39,638.35,4,13.83
166.53,-6.39,644.83,4,13.83
167.58,-6.39,651.59,4,13.83
168.66,-6.38,651.46,4,13.83
169.68,-6.36,656.07,4,13.83
170.69,-6.35,661.87,4,13.82
171.68,-6.33,665.83,4,13.82
172.66,-6.32,669.16,4,13.82
173.62,-6.32,672.61,4,13.82
174.54,-6.31,676.44,4,13.81
175.45,-6.30,679.85,4,13.81
176.33,-6.30,683.91,4,13.81
177.19,-6.30,688.32,4,13.81
178.03,-6.30,690.61,4,13.80
178.84,-6.30,695.76,4,13.80
179.62,-6.30,697.44,4,13.80
180.39,-6.30,700.20,4,13.80
181.13,-6.30,704.63,4,13.79
181.88,-6.30,706.07,4,13.79
182.60,-6.30,708.49,4,13.79
183.28,-6.30,714.94,4,13.78
183.96,-6.31,714.86,4,13.78
