Speed,Yaw,RPM,Gear,Fuel
0.00,-6.28,94.25,0,53.11
0.00,-6.28,143.23,0,53.11
0.00,-6.28,196.73,0,53.11
0.00,-6.28,256.01,0,53.11
0.00,-6.28,324.31,0,53.11
0.00,-6.28,404.53,0,53.11
0.00,-6.28,498.79,0,53.11
0.00,-6.28,608.03,0,53.11
0.00,-6.28,732.74,0,53.11
0.00,-6.28,862.03,0,53.10
0.00,-6.28,862.88,0,53.10
0.00,-6.28,862.88,0,53.10
0.00,-6.28,862.88,0,53.10
0.00,-6.28,862.88,0,53.10
0.00,-6.28,862.88,0,53.10
0.00,-6.28,862.88,0,53.10
0.00,-6.28,862.88,0,53.09
0.00,-6.28,97.18,1,53.09
0.00,-6.28,101.82,1,53.09
0.12,-6.28,94.25,1,53.09
0.87,-6.28,94.25,1,53.09
1.92,-6.28,94.25,1,53.09
2.85,-6.28,94.25,1,53.09
3.83,-6.28,94.25,1,53.09
4.69,-6.28,94.25,1,53.09
5.65,-6.28,94.25,1,53.09
6.66,-6.28,97.56,1,53.09
7.61,-6.28,105.51,1,53.09
8.58,-6.28,108.53,1,53.09
9.62,-6.28,122.35,1,53.09
10.67,-6.28,134.20,1,53.09
11.65,-6.28,147.66,1,53.09
12.69,-6.28,162.18,1,53.09
13.83,-6.28,176.99,1,53.09
14.99,-6.28,191.35,1,53.09
16.08,-6.28,205.10,1,53.09
17.21,-6.28,219.00,1,53.09
18.45,-6.28,231.97,1,53.09
19.73,-6.28,245.36,1,53.09
21.00,-6.28,256.77,1,53.09
22.30,-6.28,270.30,1,53.09
23.70,0.01,289.22,1,53.09
25.07,0.01,297.96,1,53.09
26.51,0.01,314.44,1,53.09
28.01,0.01,331.71,1,53.09
29.56,0.01,351.00,1,53.09
31.17,0.01,371.78,1,53.09
32.87,0.01,393.50,1,53.09
34.63,0.01,416.67,1,53.09
36.48,0.01,441.09,1,53.08
38.59,0.01,469.67,1,53.08
40.79,0.01,500.69,1,53.08
43.09,0.02,535.15,1,53.08
45.50,0.02,575.93,1,53.08
48.05,0.02,629.35,1,53.08
50.68,0.02,662.08,1,53.08
53.31,0.02,694.52,1,53.07
55.94,0.02,729.11,1,53.07
58.55,0.02,758.42,1,53.07
61.15,0.03,788.55,1,53.07
63.73,0.03,817.02,1,53.07
66.30,0.03,846.39,1,53.06
68.77,0.03,851.09,1,53.06
68.94,0.03,495.66,2,53.06
68.91,0.03,494.57,2,53.06
69.70,0.03,490.89,2,53.06
71.03,0.04,499.19,2,53.06
72.38,0.04,508.32,2,53.06
73.73,0.04,518.13,2,53.06
75.11,0.04,528.46,2,53.05
76.51,0.04,538.73,2,53.05
77.92,0.04,549.13,2,53.05
79.36,0.04,559.51,2,53.05
80.82,0.04,570.15,2,53.05
82.30,0.05,580.97,2,53.05
83.80,0.05,592.00,2,53.05
85.32,0.05,603.22,2,53.04
86.87,0.05,614.56,2,53.04
88.43,0.05,626.15,2,53.04
90.02,0.05,637.63,2,53.04
91.62,0.05,649.20,2,53.04
93.23,0.05,660.82,2,53.03
94.85,0.05,672.61,2,53.03
96.48,0.05,684.38,2,53.03
98.13,0.05,696.38,2,53.03
99.79,0.05,708.32,2,53.03
101.45,0.05,720.43,2,53.02
103.13,0.05,732.68,2,53.02
104.82,0.05,744.47,2,53.02
106.50,0.05,756.14,2,53.02
108.17,0.05,767.93,2,53.01
109.84,0.05,779.53,2,53.01
111.51,0.05,791.18,2,53.01
113.17,0.05,802.83,2,53.01
114.42,0.05,577.50,3,53.01
114.32,0.05,573.54,3,53.01
114.23,0.05,556.68,3,53.01
115.15,0.05,576.40,3,53.00
116.16,0.05,580.93,3,53.00
117.18,0.05,585.87,3,53.00
118.20,0.04,591.14,3,53.00
119.22,0.04,596.51,3,53.00
120.25,0.04,601.90,3,53.00
121.29,0.04,607.11,3,52.99
122.34,0.04,612.43,3,52.99
123.39,0.03,617.78,3,52.99
124.44,0.03,623.18,3,52.99
125.51,0.03,628.62,3,52.99
126.57,0.02,633.99,3,52.98
127.64,0.02,639.40,3,52.98
128.72,0.02,644.81,3,52.98
129.79,0.01,650.24,3,52.98
130.87,0.01,655.64,3,52.98
131.95,0.01,661.10,3,52.97
133.03,0.00,666.54,3,52.97
134.12,0.00,671.99,3,52.97
135.21,0.01,677.52,3,52.97
136.30,0.01,682.99,3,52.97
137.40,0.01,688.54,3,52.96
138.49,0.01,694.08,3,52.96
139.59,0.01,699.59,3,52.96
140.70,0.01,705.16,3,52.96
141.80,0.01,710.74,3,52.96
142.91,0.01,716.29,3,52.95
144.02,0.01,721.90,3,52.95
145.13,0.01,727.50,3,52.95
146.24,0.01,733.11,3,52.95
147.36,0.01,738.64,3,52.94
148.47,0.01,744.16,3,52.94
149.58,0.01,749.63,3,52.94
150.68,0.01,755.08,3,52.94
151.78,0.01,760.59,3,52.93
152.88,0.01,765.99,3,52.93
153.98,0.01,771.45,3,52.93
155.07,0.01,776.83,3,52.93
156.16,0.01,782.23,3,52.92
157.25,0.01,787.59,3,52.92
158.33,0.01,792.98,3,52.92
158.71,0.01,616.58,4,52.92
158.53,0.01,611.03,4,52.92
158.57,0.01,617.44,4,52.92
159.24,0.01,619.49,4,52.92
159.90,0.01,621.84,4,52.91
160.57,0.01,624.38,4,52.91
161.24,0.01,627.04,4,52.91
161.91,0.01,629.77,4,52.91
162.59,0.01,632.40,4,52.91
163.26,0.01,635.02,4,52.91
163.93,0.01,637.64,4,52.90
164.60,0.01,640.27,4,52.90
165.27,0.01,642.85,4,52.90
165.95,0.01,645.49,4,52.90
166.62,0.01,648.10,4,52.90
167.29,0.01,650.70,4,52.90
167.96,0.01,653.34,4,52.89
168.64,0.01,655.97,4,52.89
169.31,0.01,658.62,4,52.89
169.98,0.01,661.21,4,52.89
170.66,0.01,663.85,4,52.89
171.33,0.01,666.45,4,52.88
172.00,0.01,669.09,4,52.88
172.67,0.01,671.72,4,52.88
173.35,0.01,674.31,4,52.88
174.02,0.01,676.95,4,52.88
174.70,0.01,679.57,4,52.88
175.37,0.01,682.20,4,52.87
176.04,0.01,684.82,4,52.87
176.72,0.01,687.45,4,52.87
177.39,0.01,690.07,4,52.87
178.06,0.00,692.68,4,52.87
178.74,0.00,695.31,4,52.86
179.41,0.00,697.93,4,52.86
180.08,0.00,700.57,4,52.86
180.76,0.00,703.17,4,52.86
181.43,0.00,705.81,4,52.86
182.10,-0.00,708.45,4,52.85
182.78,-0.00,711.05,4,52.85
183.45,-0.00,713.66,4,52.85
184.12,-0.00,716.32,4,52.85
184.80,-0.01,718.90,4,52.85
185.47,-0.01,721.54,4,52.84
186.14,-0.01,724.16,4,52.84
186.82,-0.01,726.77,4,52.84
187.49,-0.01,729.40,4,52.84
188.16,-0.01,732.01,4,52.84
188.83,-0.01,734.61,4,52.83
189.50,-0.02,737.19,4,52.83
190.17,-0.02,739.76,4,52.83
190.84,-0.02,742.34,4,52.83
191.50,-0.02,744.90,4,52.82
192.16,-0.03,747.45,4,52.82
192.82,-0.03,749.99,4,52.82
193.48,-0.03,752.52,4,52.82
194.14,-0.03,755.03,4,52.82
194.79,-0.04,757.55,4,52.81
195.44,-0.04,760.06,4,52.81
196.09,-0.04,762.57,4,52.81
196.74,-0.05,765.06,4,52.81
197.38,-0.05,767.54,4,52.81
198.02,-0.05,770.01,4,52.80
198.66,-0.06,772.50,4,52.80
199.30,-0.06,774.93,4,52.80
199.93,-0.07,777.39,4,52.80
200.56,-0.07,779.82,4,52.79
201.19,-0.08,782.25,4,52.79
201.82,-0.08,784.67,4,52.79
202.44,-0.09,787.11,4,52.79
202.59,-0.09,685.94,5,52.79
202.31,-0.10,678.24,5,52.79
202.03,-0.10,676.19,5,52.79
202.43,-0.11,689.30,5,52.78
202.93,-0.11,690.69,5,52.78
203.42,-0.11,691.85,5,52.78
203.91,-0.10,693.59,5,52.78
204.39,-0.10,695.31,5,52.78
204.87,-0.09,696.66,5,52.77
205.35,-0.09,698.88,5,52.77
205.83,-0.08,699.92,5,52.77
206.30,-0.08,702.06,5,52.77
206.77,-0.07,703.14,5,52.77
207.24,-0.07,705.20,5,52.76
207.70,-0.07,706.38,5,52.76
208.16,-0.06,708.26,5,52.76
208.62,-0.06,710.24,5,52.76
209.08,-0.05,711.35,5,52.76
209.53,-0.05,713.33,5,52.75
209.99,-0.05,714.40,5,52.75
210.43,-0.04,716.37,5,52.75
210.88,-0.04,717.50,5,52.75
211.32,-0.03,719.33,5,52.75
211.77,-0.03,720.58,5,52.74
212.21,-0.03,722.34,5,52.74
212.65,-0.02,723.69,5,52.74
213.10,-0.02,725.30,5,52.74
213.54,-0.01,726.97,5,52.74
213.98,-0.01,728.31,5,52.73
214.43,-0.00,729.95,5,52.73
214.87,0.00,731.29,5,52.73
215.32,0.01,732.90,5,52.73
215.77,0.02,734.32,5,52.73
216.21,0.02,735.85,5,52.72
216.66,0.03,737.32,5,52.72
217.11,0.04,738.82,5,52.72
217.56,0.05,740.37,5,52.72
218.01,0.05,741.83,5,52.71
218.46,0.06,743.46,5,52.71
218.92,0.07,744.85,5,52.71
219.37,0.08,746.50,5,52.71
219.82,0.09,747.90,5,52.71
220.27,0.10,749.34,5,52.70
220.72,0.11,750.97,5,52.70
221.17,0.13,752.38,5,52.70
221.62,0.14,754.11,5,52.70
222.07,0.15,755.44,5,52.69
222.52,0.17,757.27,5,52.69
222.97,0.18,758.56,5,52.69
223.40,0.17,764.20,5,52.69
223.87,0.15,762.76,5,52.69
224.29,0.13,770.15,5,52.68
224.78,0.12,768.89,5,52.68
225.23,0.11,773.43,5,52.68
225.74,0.09,770.31,5,52.68
226.21,0.08,773.54,5,52.68
226.71,0.06,772.73,5,52.67
227.19,0.05,775.56,5,52.67
227.69,0.03,775.75,5,52.67
228.18,0.02,777.91,5,52.67
228.67,0.01,778.86,5,52.66
229.17,-0.01,780.29,5,52.66
229.66,-0.02,781.60,5,52.66
230.16,-0.04,782.81,5,52.66
230.66,-0.06,784.33,5,52.65
230.75,-0.07,699.57,6,52.65
230.46,-0.09,691.33,6,52.65
230.15,-0.11,692.33,6,52.65
230.52,-0.13,702.49,6,52.65
230.96,-0.15,703.17,6,52.65
231.40,-0.17,704.69,6,52.65
231.83,-0.17,706.12,6,52.64
232.26,-0.16,708.36,6,52.64
232.68,-0.14,711.06,6,52.64
233.13,-0.13,711.51,6,52.64
233.56,-0.12,713.33,6,52.64
234.00,-0.11,714.06,6,52.63
234.44,-0.09,715.73,6,52.63
234.88,-0.09,716.64,6,52.63
235.30,-0.08,718.29,6,52.63
235.73,-0.07,719.82,6,52.62
236.16,-0.06,720.85,6,52.62
236.58,-0.05,722.43,6,52.62
237.00,-0.05,723.40,6,52.62
237.42,-0.04,724.90,6,52.62
237.83,-0.03,725.87,6,52.61
238.24,-0.03,727.39,6,52.61
238.65,-0.02,728.40,6,52.61
239.04,-0.02,729.85,6,52.61
239.44,-0.01,731.21,6,52.60
239.84,-0.01,732.24,6,52.60
240.23,-0.01,733.48,6,52.60
240.63,-0.00,734.54,6,52.60
241.03,0.01,735.74,6,52.59
241.43,0.01,736.85,6,52.59
241.84,0.02,738.00,6,52.59
242.25,0.03,739.12,6,52.59
242.66,0.03,740.32,6,52.58
243.08,0.04,741.41,6,52.58
243.50,0.05,742.70,6,52.58
243.93,0.07,743.79,6,52.58
244.35,0.08,745.13,6,52.58
244.77,0.09,746.25,6,52.57
245.20,0.10,747.32,6,52.57
245.62,0.12,748.75,6,52.57
246.04,0.13,749.77,6,52.57
246.45,0.14,751.26,6,52.56
246.87,0.13,752.25,6,52.56
247.27,0.12,753.84,6,52.56
247.68,0.11,754.85,6,52.56
248.09,0.10,755.83,6,52.55
248.49,0.09,757.41,6,52.55
248.89,0.08,758.33,6,52.55
249.28,0.07,759.89,6,52.55
249.67,0.06,760.86,6,52.54
250.05,0.06,762.01,6,52.54
250.43,0.05,763.33,6,52.54
250.81,0.04,764.26,6,52.54
251.17,0.04,765.73,6,52.53
251.54,0.03,766.65,6,52.53
251.89,0.03,768.06,6,52.53
252.24,0.03,769.01,6,52.53
252.58,0.02,769.92,6,52.53
252.92,0.02,771.25,6,52.52
253.25,0.02,772.12,6,52.52
253.58,0.01,773.39,6,52.52
253.90,0.01,774.29,6,52.52
